PK DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.625000,0.500000,0.437500,0.437500,0.625000,0.500000,0.375000,0.437500,0.625000,0.437500,0.437500,0.500000,0.687500,0.562500,0.437500,0.375000,0.625000,0.375000,0.312500,0.312500
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.565217,0.391304,0.260870,0.260870,0.521739,0.304348,0.260870,0.304348,0.478261,0.347826,0.347826,0.391304,0.521739,0.347826,0.391304,0.521739,0.521739,0.434783,0.391304,0.347826
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.375000,0.375000,0.125000,0.250000,0.375000,0.375000,0.250000,0.250000,0.375000,0.500000,0.125000,0.125000,0.375000,0.000000,0.125000,0.250000,0.250000,0.250000,0.250000,0.250000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.566667,0.466667,0.433333,0.366667,0.500000,0.466667,0.433333,0.300000,0.500000,0.433333,0.466667,0.333333,0.500000,0.433333,0.400000,0.333333,0.500000,0.366667,0.333333,0.366667
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.666667,0.458333,0.416667,0.333333,0.541667,0.416667,0.250000,0.291667,0.458333,0.333333,0.333333,0.250000,0.541667,0.333333,0.250000,0.166667,0.416667,0.291667,0.416667,0.208333
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.545455,0.454545,0.454545,0.363636,0.454545,0.500000,0.318182,0.318182,0.545455,0.409091,0.409091,0.363636,0.454545,0.454545,0.363636,0.363636,0.545455,0.545455,0.409091,0.363636
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
