RECALL DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.666667,0.500000,0.500000,0.833333,0.833333,0.666667,0.833333,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.300000,0.300000,0.300000,0.300000,0.600000,0.500000,0.600000,0.600000,0.800000,0.900000,0.800000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.125000,0.000000,0.250000,0.250000,0.500000,0.500000,0.500000,0.625000,0.625000,0.875000,0.750000,0.875000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.250000,0.375000,0.375000,0.375000,0.375000,0.625000,0.625000,0.625000,0.625000,0.875000,0.875000,0.875000,0.875000,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.333333,0.500000,0.500000,0.500000,0.333333,0.666667,0.500000,0.666667,0.500000,0.833333,0.666667,0.833333,0.833333,1.000000,0.833333,1.000000,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.142857,0.142857,0.142857,0.142857,0.285714,0.357143,0.285714,0.357143,0.571429,0.571429,0.571429,0.571429,0.785714,0.785714,0.785714,0.785714,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.187500,0.187500,0.187500,0.187500,0.500000,0.500000,0.500000,0.500000,0.625000,0.687500,0.625000,0.687500,0.812500,0.812500,0.812500,0.812500,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.125000,0.125000,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000,0.500000,0.500000,0.500000,0.500000,0.750000,0.750000,0.750000,0.750000,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.187500,0.312500,0.250000,0.312500,0.500000,0.500000,0.562500,0.500000,0.750000,0.812500,0.812500,0.812500,0.937500,0.937500,1.000000,0.875000,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.105263,0.105263,0.105263,0.105263,0.368421,0.368421,0.368421,0.368421,0.578947,0.578947,0.578947,0.578947,0.789474,0.842105,0.789474,0.842105,1.000000,1.000000,1.000000,1.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.285714,0.000000,0.285714,0.000000,0.428571,0.428571,0.428571,0.428571,0.642857,0.785714,0.642857,0.785714,0.928571,0.928571,0.928571,1.000000,1.000000,1.000000,1.000000,1.000000
