F1 DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.521739,0.526316,0.705882,0.533333,0.476190,0.588235,0.500000,0.500000,0.600000,0.588235,0.714286,0.615385,0.588235,0.461538,0.500000,0.666667,0.625000,0.769231,0.500000,0.666667
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.571429,0.583333,0.571429,0.600000,0.518519,0.500000,0.545455,0.421053,0.583333,0.583333,0.583333,0.380952,0.521739,0.545455,0.476190,0.352941,0.560000,0.400000,0.421053,0.352941
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.545455,0.400000,0.500000,0.500000,0.545455,0.400000,0.750000,0.571429,0.545455,0.400000,0.857143,0.571429,0.545455,0.250000,0.500000,0.500000,0.600000,0.571429,0.571429,0.500000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.432432,0.387097,0.461538,0.434783,0.424242,0.482759,0.363636,0.521739,0.466667,0.333333,0.347826,0.380952,0.400000,0.480000,0.363636,0.380952,0.428571,0.454545,0.454545,0.545455
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.533333,0.545455,0.700000,0.500000,0.592593,0.560000,0.600000,0.500000,0.727273,0.476190,0.625000,0.428571,0.666667,0.666667,0.571429,0.461538,0.736842,0.500000,0.533333,0.428571
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.480000,0.521739,0.555556,0.400000,0.461538,0.363636,0.352941,0.400000,0.521739,0.421053,0.400000,0.428571,0.454545,0.555556,0.533333,0.571429,0.500000,0.375000,0.533333,0.428571
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.903226,0.785714,0.640000,0.608696,0.866667,0.692308,0.640000,0.400000,0.857143,0.720000,0.636364,0.571429,0.814815,0.476190,0.500000,0.500000,0.666667,0.476190,0.500000,0.500000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.628571,0.645161,0.571429,0.461538,0.647059,0.666667,0.571429,0.400000,0.709677,0.733333,0.733333,0.592593,0.666667,0.642857,0.592593,0.434783,0.645161,0.538462,0.560000,0.521739
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.750000,0.666667,0.571429,0.461538,0.823529,0.750000,0.461538,0.333333,0.823529,0.666667,0.500000,0.500000,0.750000,0.461538,0.461538,0.615385,0.666667,0.461538,0.500000,0.615385
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.695652,0.650000,0.628571,0.580645,0.714286,0.756757,0.533333,0.645161,0.717949,0.687500,0.580645,0.551724,0.631579,0.666667,0.600000,0.620690,0.666667,0.666667,0.666667,0.666667
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.780488,0.606061,0.580645,0.444444,0.769231,0.666667,0.516129,0.296296,0.606061,0.500000,0.444444,0.320000,0.625000,0.384615,0.400000,0.333333,0.600000,0.444444,0.384615,0.400000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.722222,0.687500,0.642857,0.434783,0.685714,0.625000,0.538462,0.434783,0.625000,0.500000,0.434783,0.363636,0.580645,0.538462,0.434783,0.454545,0.666667,0.560000,0.500000,0.363636
