RECALL DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,1.000000,0.833333,1.000000,0.666667,0.833333,0.833333,0.666667,0.500000,1.000000,0.833333,0.833333,0.666667,0.833333,0.500000,0.500000,0.666667,0.833333,0.833333,0.500000,0.666667
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.800000,0.700000,0.600000,0.600000,0.700000,0.600000,0.600000,0.400000,0.700000,0.700000,0.700000,0.400000,0.600000,0.600000,0.500000,0.300000,0.700000,0.400000,0.400000,0.300000
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,0.666667,0.666667,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.333333,0.666667,0.666667,1.000000,0.666667,0.666667,0.666667
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,1.000000,0.750000,0.750000,0.625000,0.875000,0.875000,0.500000,0.750000,0.875000,0.500000,0.500000,0.500000,0.750000,0.750000,0.500000,0.500000,0.750000,0.625000,0.625000,0.750000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,1.000000,0.750000,0.875000,0.500000,1.000000,0.875000,0.750000,0.500000,1.000000,0.625000,0.625000,0.375000,0.875000,0.625000,0.500000,0.375000,0.875000,0.500000,0.500000,0.375000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,0.833333,0.500000,1.000000,0.666667,0.500000,0.500000,1.000000,0.666667,0.500000,0.500000,0.833333,0.833333,0.666667,0.666667,0.833333,0.500000,0.666667,0.500000
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,1.000000,0.785714,0.571429,0.500000,0.928571,0.642857,0.571429,0.285714,0.857143,0.642857,0.500000,0.428571,0.785714,0.357143,0.357143,0.357143,0.571429,0.357143,0.357143,0.357143
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.687500,0.625000,0.500000,0.375000,0.687500,0.625000,0.500000,0.312500,0.687500,0.687500,0.687500,0.500000,0.625000,0.562500,0.500000,0.312500,0.625000,0.437500,0.437500,0.375000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.750000,0.625000,0.500000,0.375000,0.875000,0.750000,0.375000,0.250000,0.875000,0.625000,0.375000,0.375000,0.750000,0.375000,0.375000,0.500000,0.625000,0.375000,0.375000,0.500000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,1.000000,0.812500,0.687500,0.562500,0.937500,0.875000,0.500000,0.625000,0.875000,0.687500,0.562500,0.500000,0.750000,0.687500,0.562500,0.562500,0.750000,0.625000,0.625000,0.625000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.842105,0.526316,0.473684,0.315789,0.789474,0.631579,0.421053,0.210526,0.526316,0.421053,0.315789,0.210526,0.526316,0.263158,0.263158,0.210526,0.473684,0.315789,0.263158,0.263158
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.928571,0.785714,0.642857,0.357143,0.857143,0.714286,0.500000,0.357143,0.714286,0.500000,0.357143,0.285714,0.642857,0.500000,0.357143,0.357143,0.714286,0.500000,0.428571,0.285714
