RECALL DataSet\Algorithm,C99_100_9_false,C99_100_9_true,TT_50_3,TT_20_3
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.900000,0.900000,0.600000,0.600000
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.750000,0.750000,0.625000,0.625000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,0.875000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.666667,0.666667,0.666667,0.666667
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,0.928571
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.875000,0.875000,0.625000,0.625000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.750000,0.750000,0.750000,0.750000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.687500,0.687500,0.562500,0.562500
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.947368,0.947368,0.789474,0.842105
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.642857,0.642857,0.642857,0.642857
