PRECISION DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.666667,0.333333,0.666667,0.333333,0.500000,0.500000,0.500000,0.500000,0.400000,0.500000,0.300000,0.500000,0.384615,0.384615,0.384615,0.384615,0.352941,0.352941,0.352941,0.352941
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.500000,1.000000,0.500000,1.000000,0.500000,0.875000,0.500000,0.875000,0.538462,0.692308,0.538462,0.692308,0.470588,0.529412,0.470588,0.529412,0.409091,0.409091,0.409091,0.409091
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,0.750000,0.750000,0.750000,0.600000,0.600000,0.600000,0.600000,0.428571,0.428571,0.428571,0.428571
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.250000,0.750000,0.250000,0.250000,0.333333,0.444444,0.333333,0.555556,0.333333,0.333333,0.333333,0.333333,0.300000,0.300000,0.300000,0.300000,0.240000,0.240000,0.240000,0.240000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.250000,0.444444,0.444444,0.555556,0.555556,0.500000,0.428571,0.500000,0.357143,0.421053,0.368421,0.421053,0.368421,0.333333,0.333333,0.333333,0.333333
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.333333,0.000000,0.333333,0.285714,0.285714,0.428571,0.285714,0.300000,0.300000,0.300000,0.300000,0.214286,0.214286,0.214286,0.214286,0.222222,0.222222,0.222222,0.222222
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.666667,0.666667,0.666667,0.666667,0.666667,0.833333,0.666667,0.833333,0.700000,0.800000,0.700000,0.800000,0.769231,0.846154,0.769231,0.846154,0.823529,0.823529,0.823529,0.823529
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,1.000000,0.750000,1.000000,0.750000,0.875000,0.750000,0.875000,0.692308,0.846154,0.692308,0.769231,0.647059,0.705882,0.647059,0.647059,0.636364,0.636364,0.636364,0.636364
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,1.000000,0.750000,1.000000,0.800000,1.000000,0.800000,1.000000,0.857143,0.857143,0.857143,0.857143
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.750000,1.000000,0.750000,0.250000,0.666667,0.666667,0.666667,0.666667,0.533333,0.600000,0.533333,0.533333,0.500000,0.500000,0.500000,0.500000,0.440000,0.440000,0.440000,0.440000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.500000,0.500000,0.500000,0.500000,0.666667,0.666667,0.666667,0.666667,0.666667,0.733333,0.666667,0.666667,0.700000,0.750000,0.700000,0.700000,0.720000,0.720000,0.720000,0.720000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.333333,0.666667,0.333333,0.666667,0.571429,0.714286,0.571429,0.714286,0.500000,0.500000,0.500000,0.500000,0.437500,0.500000,0.437500,0.500000,0.450000,0.450000,0.450000,0.450000
