F1 DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.444444,0.222222,0.444444,0.222222,0.500000,0.500000,0.500000,0.500000,0.500000,0.625000,0.375000,0.625000,0.526316,0.526316,0.526316,0.526316,0.521739,0.521739,0.521739,0.521739
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.285714,0.571429,0.285714,0.571429,0.444444,0.777778,0.444444,0.777778,0.608696,0.782609,0.608696,0.782609,0.592593,0.666667,0.592593,0.666667,0.562500,0.562500,0.562500,0.562500
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.500000,0.500000,0.500000,0.500000,0.800000,0.800000,0.800000,0.800000,0.857143,0.857143,0.857143,0.857143,0.750000,0.750000,0.750000,0.750000,0.600000,0.600000,0.600000,0.600000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.166667,0.500000,0.166667,0.166667,0.352941,0.470588,0.352941,0.588235,0.434783,0.434783,0.434783,0.434783,0.428571,0.428571,0.428571,0.428571,0.363636,0.363636,0.363636,0.363636
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.166667,0.166667,0.166667,0.166667,0.470588,0.470588,0.588235,0.588235,0.636364,0.545455,0.636364,0.454545,0.592593,0.518519,0.592593,0.518519,0.500000,0.500000,0.500000,0.500000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.222222,0.000000,0.222222,0.307692,0.307692,0.461538,0.307692,0.375000,0.375000,0.375000,0.375000,0.300000,0.300000,0.300000,0.300000,0.333333,0.333333,0.333333,0.333333
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.235294,0.235294,0.235294,0.235294,0.400000,0.500000,0.400000,0.500000,0.583333,0.666667,0.583333,0.666667,0.740741,0.814815,0.740741,0.814815,0.903226,0.903226,0.903226,0.903226
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.300000,0.400000,0.300000,0.400000,0.500000,0.583333,0.500000,0.583333,0.620690,0.758621,0.620690,0.689655,0.666667,0.727273,0.666667,0.666667,0.736842,0.736842,0.736842,0.736842
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.222222,0.222222,0.222222,0.222222,0.400000,0.400000,0.400000,0.400000,0.500000,0.666667,0.500000,0.666667,0.615385,0.769231,0.615385,0.769231,0.800000,0.800000,0.800000,0.800000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.300000,0.400000,0.300000,0.100000,0.480000,0.480000,0.480000,0.480000,0.516129,0.580645,0.516129,0.516129,0.555556,0.555556,0.555556,0.555556,0.536585,0.536585,0.536585,0.536585
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.173913,0.173913,0.173913,0.173913,0.428571,0.428571,0.428571,0.428571,0.588235,0.647059,0.588235,0.588235,0.717949,0.769231,0.717949,0.717949,0.818182,0.818182,0.818182,0.818182
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.117647,0.235294,0.117647,0.235294,0.380952,0.476190,0.380952,0.476190,0.461538,0.461538,0.461538,0.461538,0.466667,0.533333,0.466667,0.533333,0.529412,0.529412,0.529412,0.529412
