PK DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.187500,0.312500,0.187500,0.312500,0.250000,0.250000,0.250000,0.250000,0.437500,0.312500,0.500000,0.312500,0.500000,0.500000,0.500000,0.500000,0.687500,0.687500,0.687500,0.687500
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.434783,0.260870,0.434783,0.260870,0.434783,0.173913,0.434783,0.173913,0.347826,0.173913,0.347826,0.173913,0.391304,0.347826,0.391304,0.347826,0.521739,0.521739,0.521739,0.521739
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.250000,0.125000,0.125000,0.125000,0.125000,0.000000,0.125000,0.000000,0.125000,0.125000,0.250000,0.125000,0.250000,0.375000,0.375000,0.375000,0.375000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.333333,0.200000,0.333333,0.333333,0.366667,0.300000,0.366667,0.233333,0.400000,0.433333,0.400000,0.400000,0.466667,0.500000,0.500000,0.466667,0.633333,0.633333,0.633333,0.633333
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.291667,0.291667,0.208333,0.250000,0.291667,0.375000,0.291667,0.458333,0.458333,0.500000,0.458333,0.500000,0.666667,0.666667,0.666667,0.666667
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.363636,0.272727,0.363636,0.272727,0.363636,0.363636,0.272727,0.363636,0.363636,0.409091,0.363636,0.409091,0.545455,0.545455,0.545455,0.590909,0.636364,0.636364,0.636364,0.636364
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
