F1 DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.545455,0.526316,0.555556,0.500000,0.545455,0.600000,0.666667,0.400000,0.545455,0.555556,0.500000,0.400000,0.521739,0.444444,0.588235,0.428571,0.421053,0.533333,0.571429,0.571429,0.444444,0.222222,0.444444,0.222222,0.500000,0.500000,0.500000,0.500000,0.500000,0.625000,0.375000,0.625000,0.526316,0.526316,0.526316,0.526316,0.521739,0.521739,0.521739,0.521739
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.444444,0.521739,0.600000,0.588235,0.416667,0.571429,0.600000,0.500000,0.480000,0.583333,0.545455,0.352941,0.461538,0.545455,0.476190,0.235294,0.461538,0.421053,0.444444,0.400000,0.285714,0.571429,0.285714,0.571429,0.444444,0.777778,0.444444,0.777778,0.608696,0.782609,0.608696,0.782609,0.592593,0.666667,0.592593,0.666667,0.562500,0.562500,0.562500,0.562500
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.600000,0.600000,0.750000,0.571429,0.600000,0.600000,0.571429,0.571429,0.600000,0.444444,0.666667,0.666667,0.600000,0.857143,0.666667,0.571429,0.666667,0.666667,0.571429,0.571429,0.500000,0.500000,0.500000,0.500000,0.800000,0.800000,0.800000,0.800000,0.857143,0.857143,0.857143,0.857143,0.750000,0.750000,0.750000,0.750000,0.600000,0.600000,0.600000,0.600000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.344828,0.384615,0.347826,0.400000,0.370370,0.384615,0.400000,0.500000,0.370370,0.400000,0.333333,0.421053,0.370370,0.400000,0.416667,0.476190,0.370370,0.434783,0.476190,0.333333,0.166667,0.500000,0.166667,0.166667,0.352941,0.470588,0.352941,0.588235,0.434783,0.434783,0.434783,0.434783,0.428571,0.428571,0.428571,0.428571,0.363636,0.363636,0.363636,0.363636
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.466667,0.476190,0.500000,0.470588,0.518519,0.545455,0.625000,0.428571,0.592593,0.600000,0.555556,0.571429,0.551724,0.636364,0.666667,0.666667,0.615385,0.666667,0.444444,0.571429,0.166667,0.166667,0.166667,0.166667,0.470588,0.470588,0.588235,0.588235,0.636364,0.545455,0.636364,0.454545,0.592593,0.518519,0.592593,0.518519,0.500000,0.500000,0.500000,0.500000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.363636,0.400000,0.333333,0.375000,0.400000,0.380952,0.470588,0.400000,0.363636,0.421053,0.375000,0.400000,0.400000,0.266667,0.400000,0.307692,0.363636,0.222222,0.266667,0.307692,0.000000,0.222222,0.000000,0.222222,0.307692,0.307692,0.461538,0.307692,0.375000,0.375000,0.375000,0.375000,0.300000,0.300000,0.300000,0.300000,0.333333,0.333333,0.333333,0.333333
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.866667,0.785714,0.692308,0.720000,0.866667,0.740741,0.640000,0.608696,0.866667,0.740741,0.640000,0.608696,0.903226,0.740741,0.720000,0.608696,0.785714,0.666667,0.695652,0.695652,0.235294,0.235294,0.235294,0.235294,0.400000,0.500000,0.400000,0.500000,0.583333,0.666667,0.583333,0.666667,0.740741,0.814815,0.740741,0.814815,0.903226,0.903226,0.903226,0.903226
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.606061,0.482759,0.461538,0.434783,0.533333,0.592593,0.461538,0.363636,0.580645,0.666667,0.642857,0.347826,0.625000,0.500000,0.444444,0.260870,0.562500,0.384615,0.416667,0.285714,0.300000,0.400000,0.300000,0.400000,0.500000,0.583333,0.500000,0.583333,0.620690,0.758621,0.620690,0.689655,0.666667,0.727273,0.666667,0.666667,0.736842,0.736842,0.736842,0.736842
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.800000,0.800000,0.615385,0.500000,0.800000,0.800000,0.500000,0.500000,0.800000,0.714286,0.363636,0.363636,0.800000,0.500000,0.363636,0.500000,0.714286,0.714286,0.500000,0.500000,0.222222,0.222222,0.222222,0.222222,0.400000,0.400000,0.400000,0.400000,0.500000,0.666667,0.500000,0.666667,0.615385,0.769231,0.615385,0.769231,0.800000,0.800000,0.800000,0.800000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.486486,0.470588,0.451613,0.428571,0.457143,0.470588,0.484848,0.500000,0.514286,0.484848,0.375000,0.444444,0.514286,0.484848,0.500000,0.482759,0.514286,0.451613,0.551724,0.307692,0.300000,0.400000,0.300000,0.100000,0.480000,0.480000,0.480000,0.480000,0.516129,0.580645,0.516129,0.516129,0.555556,0.555556,0.555556,0.555556,0.536585,0.536585,0.536585,0.536585
