WINDIFF DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.294118,0.294118,0.294118,0.294118,0.470588,0.470588,0.470588,0.470588,0.588235,0.470588,0.588235,0.588235,0.529412,0.529412,0.647059,0.529412,0.647059,0.647059,0.647059,0.647059
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.291667,0.375,0.291667,0.291667,0.333333,0.25,0.333333,0.25,0.458333,0.375,0.458333,0.375,0.583333,0.583333,0.583333,0.583333
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.444444,0.444444,0.444444,0.444444,0.666667,0.666667,0.666667,0.666667
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.354839,0.419355,0.290323,0.290323,0.387097,0.387097,0.387097,0.322581,0.516129,0.387097,0.451613,0.387097,0.548387,0.548387,0.548387,0.548387,0.741935,0.741935,0.741935,0.741935
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.32,0.32,0.32,0.32,0.44,0.44,0.44,0.44,0.52,0.52,0.52,0.52,0.56,0.56,0.56,0.56,0.68,0.68,0.68,0.68
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.26087,0.173913,0.173913,0.173913,0.478261,0.304348,0.391304,0.304348,0.565217,0.391304,0.478261,0.391304,0.608696,0.521739,0.608696,0.521739,0.73913,0.73913,0.73913,0.73913
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.764706,0.764706,0.764706,0.764706,0.705882,0.588235,0.705882,0.588235,0.470588,0.470588,0.470588,0.470588,0.294118,0.294118,0.294118,0.294118,0.176471,0.176471,0.176471,0.176471
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.56,0.56,0.56,0.56,0.36,0.36,0.36,0.36,0.44,0.36,0.44,0.36,0.4,0.4,0.4,0.4,0.36,0.36,0.36,0.36
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.5,0.375,0.4375,0.375,0.375,0.375,0.3125,0.375,0.34375,0.28125,0.28125,0.28125,0.34375,0.34375,0.28125,0.40625,0.5,0.5,0.5,0.5
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.730769,0.730769,0.730769,0.730769,0.576923,0.576923,0.576923,0.576923,0.461538,0.461538,0.461538,0.461538,0.384615,0.307692,0.384615,0.307692,0.269231,0.269231,0.269231,0.269231
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.384615,0.692308,0.384615,0.692308,0.461538,0.461538,0.461538,0.461538,0.423077,0.269231,0.423077,0.269231,0.346154,0.346154,0.346154,0.269231,0.461538,0.461538,0.461538,0.461538
,,,,,,,,,,0.390318166666667,,,,,,,,,,
