Algoritmo,NUM_SEGS_KNOWN,NSEGRATE,PRIOR,DISPERSION,WINDIFF,WINDIFF',PK,PK',ACURACY,ACURACY',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
BayesSeg Pr:0.08 dp:0.10 sr:auto,false,Auto,0.0800,0.1000,0.398798,0.086699,0.379955,0.107923,0.636932,0.094732,0.526021,0.087688,9.750000,1.785357
BayesSeg Pr:0.09 dp:0.10 sr:auto,false,Auto,0.0900,0.1000,0.405316,0.080055,0.386473,0.098964,0.632608,0.090773,0.512752,0.077202,9.416667,1.705791
BayesSeg Pr:0.10 dp:0.10 sr:auto,false,Auto,0.1000,0.1000,0.398650,0.076824,0.379806,0.095057,0.639018,0.086514,0.516540,0.077597,9.250000,1.639360
BayesSeg Pr:0.11 dp:0.10 sr:auto,false,Auto,0.1100,0.1000,0.405373,0.083301,0.386530,0.101618,0.632628,0.092787,0.506367,0.075325,9.083333,1.497683
BayesSeg Pr:0.08 dp:0.30 sr:auto,false,Auto,0.0800,0.3000,0.383278,0.088670,0.364435,0.106810,0.651721,0.093956,0.549167,0.100885,10.083333,1.800849
BayesSeg Pr:0.09 dp:0.30 sr:auto,false,Auto,0.0900,0.3000,0.395919,0.083523,0.377075,0.100035,0.641661,0.091387,0.526825,0.092774,9.666667,1.795055
BayesSeg Pr:0.10 dp:0.30 sr:auto,false,Auto,0.1000,0.3000,0.396554,0.074100,0.377710,0.092442,0.640992,0.083892,0.517778,0.083584,9.250000,1.479020
BayesSeg Pr:0.11 dp:0.30 sr:auto,false,Auto,0.1100,0.3000,0.393220,0.072961,0.374377,0.090843,0.644197,0.082099,0.519754,0.083934,9.166667,1.462494
BayesSeg Pr:0.08 dp:0.50 sr:auto,false,Auto,0.0800,0.5000,0.383278,0.088670,0.364435,0.106810,0.651721,0.093956,0.549167,0.100885,10.083333,1.800849
BayesSeg Pr:0.09 dp:0.50 sr:auto,false,Auto,0.0900,0.5000,0.401057,0.084251,0.382214,0.101601,0.636701,0.093205,0.520809,0.095583,9.666667,1.699673
BayesSeg Pr:0.10 dp:0.50 sr:auto,false,Auto,0.1000,0.5000,0.399887,0.076828,0.381044,0.095305,0.637787,0.086958,0.515966,0.083714,9.333333,1.545603
BayesSeg Pr:0.11 dp:0.50 sr:auto,false,Auto,0.1100,0.5000,0.391705,0.074857,0.372862,0.092063,0.645685,0.083187,0.521009,0.083014,9.083333,1.320248
BayesSeg Pr:0.08 dp:0.70 sr:auto,false,Auto,0.0800,0.7000,0.387839,0.076628,0.368996,0.092727,0.649242,0.084579,0.544626,0.096015,10.083333,1.705791
BayesSeg Pr:0.09 dp:0.70 sr:auto,false,Auto,0.0900,0.7000,0.395849,0.079787,0.377005,0.096924,0.641603,0.088880,0.526364,0.101762,9.750000,1.689428
BayesSeg Pr:0.10 dp:0.70 sr:auto,false,Auto,0.1000,0.7000,0.398372,0.078759,0.379529,0.096573,0.639275,0.088094,0.517221,0.082849,9.250000,1.421560
BayesSeg Pr:0.11 dp:0.70 sr:auto,false,Auto,0.1100,0.7000,0.391705,0.074857,0.372862,0.092063,0.645685,0.083187,0.521009,0.083014,9.083333,1.320248
BayesSeg Pr:0.08 dp:0.10 sr:0.300,true,0.300,0.0800,0.1000,0.421004,0.143584,0.390855,0.164648,0.623758,0.147361,0.498944,0.110488,9.250000,3.960745
BayesSeg Pr:0.09 dp:0.10 sr:0.300,true,0.300,0.0900,0.1000,0.421004,0.143584,0.390855,0.164648,0.623758,0.147361,0.498944,0.110488,9.250000,3.960745
BayesSeg Pr:0.10 dp:0.10 sr:0.300,true,0.300,0.1000,0.1000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.11 dp:0.10 sr:0.300,true,0.300,0.1100,0.1000,0.419969,0.143471,0.391556,0.167774,0.621324,0.148244,0.495150,0.118884,9.250000,3.960745
BayesSeg Pr:0.08 dp:0.30 sr:0.300,true,0.300,0.0800,0.3000,0.421004,0.143584,0.390855,0.164648,0.623758,0.147361,0.498944,0.110488,9.250000,3.960745
BayesSeg Pr:0.09 dp:0.30 sr:0.300,true,0.300,0.0900,0.3000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.10 dp:0.30 sr:0.300,true,0.300,0.1000,0.3000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.11 dp:0.30 sr:0.300,true,0.300,0.1100,0.3000,0.416939,0.145762,0.388526,0.169229,0.624300,0.149715,0.499780,0.120059,9.250000,3.960745
BayesSeg Pr:0.08 dp:0.50 sr:0.300,true,0.300,0.0800,0.5000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.09 dp:0.50 sr:0.300,true,0.300,0.0900,0.5000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.10 dp:0.50 sr:0.300,true,0.300,0.1000,0.5000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.11 dp:0.50 sr:0.300,true,0.300,0.1100,0.5000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.08 dp:0.70 sr:0.300,true,0.300,0.0800,0.7000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.09 dp:0.70 sr:0.300,true,0.300,0.0900,0.7000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.10 dp:0.70 sr:0.300,true,0.300,0.1000,0.7000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.11 dp:0.70 sr:0.300,true,0.300,0.1100,0.7000,0.421004,0.143584,0.392591,0.163258,0.620424,0.144670,0.492533,0.110241,9.250000,3.960745
BayesSeg Pr:0.08 dp:0.10 sr:0.600,true,0.600,0.0800,0.1000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.09 dp:0.10 sr:0.600,true,0.600,0.0900,0.1000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.10 dp:0.10 sr:0.600,true,0.600,0.1000,0.1000,0.467275,0.138825,0.403505,0.056213,0.610581,0.051936,0.613209,0.079219,18.416667,7.793783
BayesSeg Pr:0.11 dp:0.10 sr:0.600,true,0.600,0.1100,0.1000,0.462373,0.140686,0.398603,0.055271,0.615343,0.050733,0.618586,0.074497,18.416667,7.793783
BayesSeg Pr:0.08 dp:0.30 sr:0.600,true,0.600,0.0800,0.3000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.09 dp:0.30 sr:0.600,true,0.600,0.0900,0.3000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.10 dp:0.30 sr:0.600,true,0.600,0.1000,0.3000,0.467275,0.138825,0.403505,0.056213,0.610581,0.051936,0.613209,0.079219,18.416667,7.793783
BayesSeg Pr:0.11 dp:0.30 sr:0.600,true,0.600,0.1100,0.3000,0.462373,0.140686,0.398603,0.055271,0.615343,0.050733,0.618586,0.074497,18.416667,7.793783
BayesSeg Pr:0.08 dp:0.50 sr:0.600,true,0.600,0.0800,0.5000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.09 dp:0.50 sr:0.600,true,0.600,0.0900,0.5000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.10 dp:0.50 sr:0.600,true,0.600,0.1000,0.5000,0.467275,0.138825,0.403505,0.056213,0.610581,0.051936,0.613209,0.079219,18.416667,7.793783
BayesSeg Pr:0.11 dp:0.50 sr:0.600,true,0.600,0.1100,0.5000,0.462373,0.140686,0.398603,0.055271,0.615343,0.050733,0.618586,0.074497,18.416667,7.793783
BayesSeg Pr:0.08 dp:0.70 sr:0.600,true,0.600,0.0800,0.7000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
