Algoritmo,NSEGRATE,LENCUTOFF,WINDIFF,WINDIFF',PK,PK',KAPPA,KAPPA',ACURACY,ACURACY',PRECISION,PRECISION',RECALL,RECALL',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
MinCutSeg SRate:0.20 LCO:5,0.200,5,0.522861,0.126707,0.498810,0.136231,0.030818,0.111490,0.529876,0.130367,0.511640,0.222723,0.167253,0.069381,0.241098,0.086909,5.833333,2.608746
MinCutSeg SRate:0.20 LCO:7,0.200,7,0.515705,0.120613,0.489621,0.131831,0.059496,0.119998,0.543528,0.130531,0.556415,0.243225,0.183258,0.074389,0.263466,0.094433,5.833333,2.608746
MinCutSeg SRate:0.20 LCO:9,0.200,9,0.516054,0.107385,0.490267,0.121054,0.064511,0.120862,0.545096,0.127180,0.564286,0.252297,0.188549,0.079262,0.267921,0.090695,5.833333,2.608746
MinCutSeg SRate:0.20 LCO:11,0.200,11,0.493375,0.114134,0.466995,0.131952,0.100609,0.117765,0.561456,0.128185,0.617063,0.240484,0.207729,0.078963,0.295860,0.091387,5.833333,2.608746
MinCutSeg SRate:0.20 LCO:13,0.200,13,0.490773,0.111451,0.464393,0.123615,0.101222,0.097439,0.563990,0.119250,0.625992,0.246720,0.206106,0.064899,0.295860,0.079334,5.833333,2.608746
MinCutSeg SRate:0.20 LCO:15,0.200,15,0.489752,0.116612,0.457867,0.140167,0.119460,0.126637,0.568308,0.132489,0.637302,0.211745,0.219472,0.091879,0.310675,0.099503,5.833333,2.608746
MinCutSeg SRate:0.30 LCO:5,0.300,5,0.477541,0.095727,0.449721,0.123217,0.144029,0.152927,0.574748,0.120882,0.596152,0.165763,0.337247,0.124108,0.410060,0.091064,8.666667,3.771236
MinCutSeg SRate:0.30 LCO:7,0.300,7,0.486235,0.092912,0.448549,0.111976,0.134009,0.119575,0.573695,0.104456,0.596047,0.198935,0.325102,0.088826,0.401318,0.072570,8.666667,3.771236
MinCutSeg SRate:0.30 LCO:9,0.300,9,0.484379,0.103992,0.445253,0.115718,0.143878,0.166956,0.578594,0.111895,0.607161,0.229826,0.331457,0.115139,0.408591,0.107677,8.666667,3.771236
MinCutSeg SRate:0.30 LCO:11,0.300,11,0.474402,0.090022,0.438748,0.118942,0.148890,0.151959,0.580737,0.109228,0.611261,0.220434,0.335155,0.109028,0.412224,0.094574,8.666667,3.771236
MinCutSeg SRate:0.30 LCO:13,0.300,13,0.456575,0.094855,0.427018,0.118751,0.178243,0.157885,0.593999,0.111824,0.638282,0.211660,0.352850,0.119795,0.432895,0.098989,8.666667,3.771236
MinCutSeg SRate:0.30 LCO:15,0.300,15,0.483191,0.108178,0.448426,0.112364,0.134918,0.162921,0.574970,0.106164,0.601377,0.228744,0.324675,0.114189,0.402217,0.107357,8.666667,3.771236
MinCutSeg SRate:0.40 LCO:5,0.400,5,0.483794,0.076994,0.446700,0.119509,0.145108,0.185686,0.571097,0.108403,0.565811,0.171609,0.453430,0.170148,0.477276,0.096426,11.916667,5.251323
MinCutSeg SRate:0.40 LCO:7,0.400,7,0.476582,0.083503,0.430215,0.081633,0.174111,0.142615,0.589047,0.078816,0.595453,0.214137,0.456136,0.114475,0.491097,0.081762,11.916667,5.251323
MinCutSeg SRate:0.40 LCO:9,0.400,9,0.443810,0.083617,0.407860,0.093329,0.228047,0.159161,0.613859,0.092585,0.629484,0.196343,0.494135,0.142231,0.526255,0.083669,11.916667,5.251323
MinCutSeg SRate:0.40 LCO:11,0.400,11,0.449720,0.086172,0.411737,0.116576,0.204871,0.166828,0.601079,0.101573,0.608849,0.175759,0.483024,0.149456,0.512386,0.087486,11.916667,5.251323
MinCutSeg SRate:0.40 LCO:13,0.400,13,0.461964,0.089077,0.422245,0.130817,0.181274,0.193718,0.589412,0.112128,0.592071,0.185101,0.472111,0.167404,0.498611,0.102930,11.916667,5.251323
