Algoritmo,STEP,WINSIZE,WINDIFF,WINDIFF',PK,PK',ACURACY,ACURACY',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
TextTiling w:30 s:20,20,30,0.512757,0.137865,0.490442,0.144323,0.537653,0.137865,0.333743,0.172964,8.500000,3.570714
TextTiling w:35 s:20,20,35,0.508691,0.126721,0.492176,0.125792,0.540439,0.120582,0.349790,0.135451,8.583333,2.871072
TextTiling w:40 s:20,20,40,0.517296,0.132222,0.494684,0.144278,0.531649,0.137143,0.342192,0.142279,8.583333,3.147971
TextTiling w:45 s:20,20,45,0.495878,0.114034,0.477035,0.121619,0.554934,0.117082,0.346789,0.117397,7.666667,2.527625
TextTiling w:50 s:20,20,50,0.481443,0.139930,0.464632,0.138411,0.568594,0.133816,0.389670,0.178212,8.750000,3.467107
TextTiling w:55 s:20,20,55,0.511899,0.132513,0.493352,0.134823,0.541538,0.132181,0.336971,0.156211,8.250000,3.294566
TextTiling w:30 s:30,30,30,0.510752,0.129546,0.493941,0.129918,0.538446,0.127505,0.283890,0.144657,6.666667,2.173067
TextTiling w:35 s:30,30,35,0.516555,0.100241,0.499744,0.109207,0.535676,0.112501,0.285368,0.098946,6.583333,2.019007
TextTiling w:40 s:30,30,40,0.511920,0.128279,0.491341,0.131397,0.543389,0.120571,0.299466,0.081586,6.750000,2.586020
TextTiling w:45 s:30,30,45,0.501623,0.111892,0.483076,0.107547,0.554806,0.105720,0.320482,0.087102,6.916667,2.498611
TextTiling w:50 s:30,30,50,0.509756,0.106664,0.492945,0.116663,0.538582,0.116857,0.313194,0.112452,7.333333,2.560382
TextTiling w:55 s:30,30,55,0.498459,0.145630,0.479616,0.162032,0.542670,0.146323,0.328256,0.115415,7.250000,2.349645
TextTiling w:30 s:40,40,30,0.493380,0.131641,0.476570,0.141473,0.554709,0.134121,0.247647,0.070574,4.916667,2.059868
TextTiling w:35 s:40,40,35,0.482091,0.120623,0.465281,0.132058,0.557500,0.123037,0.266793,0.106004,5.416667,2.177856
TextTiling w:40 s:40,40,40,0.475902,0.112312,0.459091,0.120424,0.565419,0.113660,0.274879,0.120354,5.500000,2.565801
TextTiling w:45 s:40,40,45,0.501203,0.133751,0.482360,0.144180,0.548639,0.143132,0.260180,0.119517,5.333333,2.094968
TextTiling w:50 s:40,40,50,0.498090,0.123293,0.480983,0.134870,0.551307,0.133525,0.265631,0.087475,5.333333,2.285218
TextTiling w:55 s:40,40,55,0.505390,0.116092,0.486547,0.130652,0.543985,0.130906,0.243477,0.076843,5.083333,1.705791
TextTiling w:30 s:50,50,30,0.474206,0.135362,0.455363,0.137933,0.578671,0.131915,0.295300,0.105810,4.916667,1.552328
TextTiling w:35 s:50,50,35,0.527701,0.125567,0.510890,0.136905,0.530511,0.146094,0.202104,0.087537,4.583333,1.705791
TextTiling w:40 s:50,50,40,0.501190,0.103198,0.487852,0.120694,0.539373,0.121742,0.233669,0.108245,5.000000,1.683251
TextTiling w:45 s:50,50,45,0.489299,0.112071,0.475961,0.125402,0.558357,0.134792,0.275085,0.092295,5.166667,2.034426
TextTiling w:50 s:50,50,50,0.498339,0.157665,0.482968,0.171255,0.545194,0.162096,0.303760,0.099513,6.083333,1.891134
TextTiling w:55 s:50,50,55,0.489711,0.150969,0.470275,0.167143,0.555718,0.157453,0.302951,0.122740,5.583333,2.177856
TextTiling w:30 s:60,60,30,0.499391,0.092083,0.486053,0.103016,0.557039,0.123039,0.234382,0.097981,4.416667,1.753964
TextTiling w:35 s:60,60,35,0.508952,0.142804,0.493581,0.163895,0.537293,0.158526,0.243266,0.111472,5.000000,1.471960
TextTiling w:40 s:60,60,40,0.501197,0.113392,0.486122,0.128362,0.545078,0.129349,0.181814,0.107958,3.833333,1.462494
TextTiling w:45 s:60,60,45,0.493202,0.118459,0.478127,0.128908,0.558050,0.136466,0.227392,0.135812,4.166667,1.462494
TextTiling w:50 s:60,60,50,0.494664,0.110025,0.477853,0.117606,0.562311,0.126657,0.225498,0.081016,4.083333,1.656217
TextTiling w:55 s:60,60,55,0.499923,0.103626,0.484848,0.113785,0.549702,0.119536,0.198471,0.074754,4.000000,1.154701
