Algoritmo,NSEGRATE,WINDIFF,WINDIFF',PK,PK',ACURACY,ACURACY',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
TextSeg,Auto,0.430195,0.131270,0.413384,0.141659,0.610324,0.131345,0.397152,0.132724,6.083333,0.862007
TextSeg,0.100,0.492640,0.171524,0.475830,0.185070,0.557616,0.180895,0.191151,0.154532,3.166667,1.343710
TextSeg,0.200,0.455548,0.134833,0.434968,0.154669,0.584997,0.141262,0.346883,0.114572,6.083333,2.660148
TextSeg,0.300,0.482989,0.135330,0.451103,0.168119,0.567393,0.151226,0.419209,0.124966,9.250000,3.960745
TextSeg,0.400,0.468580,0.139781,0.426278,0.167363,0.586334,0.145061,0.507440,0.122273,12.083333,5.122798
TextSeg,0.500,0.476231,0.126701,0.416822,0.107658,0.593071,0.092554,0.562830,0.081651,15.500000,6.396614
TextSeg,0.600,0.496094,0.149753,0.425083,0.071433,0.587046,0.057575,0.592735,0.070158,18.416667,7.793783
TextSeg,0.700,0.551173,0.209851,0.463351,0.064855,0.549860,0.063554,0.591121,0.097266,21.416667,8.948541
TextSeg,0.800,0.593009,0.278902,0.488377,0.100572,0.521675,0.108488,0.595038,0.133748,24.416667,10.258804
TextSeg,0.900,0.620119,0.341739,0.494907,0.115168,0.511251,0.130294,0.617896,0.137919,27.500000,11.601006
