Doc,TextTiling w:30 s:50,C99 sr:50 rs: 3 w:T,MinCutSeg sr:0.40 lco:15,TextSeg sr:0.45,BayesSeg Pr:0.08 dp:0.30 sr:auto,PseudoSeg
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.520,0.600,0.400,0.520,0.680,0.600
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.412,0.647,0.588,0.353,0.588,0.765
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.538,0.692,0.577,0.577,0.538,0.577
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.500,0.615,0.577,0.577,0.538,0.577
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.485,0.758,0.697,0.697,0.727,0.576
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.364,0.545,0.364,0.455,0.545,0.818
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.750,0.800,0.900,0.750,0.650,0.400
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.714,0.657,0.714,0.657,0.743,0.343
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.583,0.417,0.458,0.542,0.542,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.680,0.560,0.780,0.640,0.740,0.260
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.698,0.628,0.791,0.791,0.814,0.279
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.696,0.625,0.589,0.571,0.714,0.375
