Doc,TextTiling w:50 s:20,C99 sr:50 rs: 3 w:T,MinCutSeg sr:0.60 lco:13,TextSeg sr:0.60,BayesSeg Pr:0.07 dp:0.30 sr:0.600,PseudoSeg
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.222,0.615,0.643,0.643,0.643,0.737
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.471,0.700,0.667,0.667,0.667,0.857
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.000,0.692,0.643,0.690,0.621,0.718
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.476,0.615,0.500,0.621,0.690,0.718
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.552,0.765,0.722,0.703,0.757,0.720
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.500,0.615,0.615,0.571,0.714,0.889
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.615,0.750,0.778,0.556,0.556,0.538
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.353,0.571,0.645,0.516,0.516,0.489
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.333,0.364,0.417,0.500,0.500,0.647
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.174,0.389,0.537,0.488,0.537,0.393
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.381,0.500,0.629,0.556,0.556,0.415
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.444,0.553,0.462,0.604,0.528,0.533
