Algoritmo,NSEGRATE,LENCUTOFF,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
MinCutSeg SRate:0.20 LCO:5,0.200,5,0.522861,0.498810,0.529876,0.511640,0.167253,0.241098,5.833333
MinCutSeg SRate:0.20 LCO:7,0.200,7,0.515705,0.489621,0.543528,0.556415,0.183258,0.263466,5.833333
MinCutSeg SRate:0.20 LCO:9,0.200,9,0.516054,0.490267,0.545096,0.564286,0.188549,0.267921,5.833333
MinCutSeg SRate:0.20 LCO:11,0.200,11,0.493375,0.466995,0.561456,0.617063,0.207729,0.295860,5.833333
MinCutSeg SRate:0.20 LCO:13,0.200,13,0.490773,0.464393,0.563990,0.625992,0.206106,0.295860,5.833333
MinCutSeg SRate:0.20 LCO:15,0.200,15,0.489752,0.457867,0.568308,0.637302,0.219472,0.310675,5.833333
MinCutSeg SRate:0.30 LCO:5,0.300,5,0.477541,0.449721,0.574748,0.596152,0.337247,0.410060,8.666667
MinCutSeg SRate:0.30 LCO:7,0.300,7,0.486235,0.448549,0.573695,0.596047,0.325102,0.401318,8.666667
MinCutSeg SRate:0.30 LCO:9,0.300,9,0.484379,0.445253,0.578594,0.607161,0.331457,0.408591,8.666667
MinCutSeg SRate:0.30 LCO:11,0.300,11,0.474402,0.438748,0.580737,0.611261,0.335155,0.412224,8.666667
MinCutSeg SRate:0.30 LCO:13,0.300,13,0.456575,0.427018,0.593999,0.638282,0.352850,0.432895,8.666667
MinCutSeg SRate:0.30 LCO:15,0.300,15,0.483191,0.448426,0.574970,0.601377,0.324675,0.402217,8.666667
MinCutSeg SRate:0.40 LCO:5,0.400,5,0.483794,0.446700,0.571097,0.565811,0.453430,0.477276,11.916667
MinCutSeg SRate:0.40 LCO:7,0.400,7,0.476582,0.430215,0.589047,0.595453,0.456136,0.491097,11.916667
MinCutSeg SRate:0.40 LCO:9,0.400,9,0.443810,0.407860,0.613859,0.629484,0.494135,0.526255,11.916667
MinCutSeg SRate:0.40 LCO:11,0.400,11,0.449720,0.411737,0.601079,0.608849,0.483024,0.512386,11.916667
MinCutSeg SRate:0.40 LCO:13,0.400,13,0.461964,0.422245,0.589412,0.592071,0.472111,0.498611,11.916667
MinCutSeg SRate:0.40 LCO:15,0.400,15,0.471233,0.431514,0.580468,0.578761,0.467782,0.490291,11.916667
MinCutSeg SRate:0.50 LCO:5,0.500,5,0.492757,0.435084,0.577855,0.560805,0.559885,0.535243,15.000000
MinCutSeg SRate:0.50 LCO:7,0.500,7,0.480511,0.427750,0.586939,0.570566,0.573605,0.546056,15.000000
MinCutSeg SRate:0.50 LCO:9,0.500,9,0.466585,0.412088,0.600302,0.585149,0.586141,0.559624,15.000000
MinCutSeg SRate:0.50 LCO:11,0.500,11,0.459489,0.407025,0.603278,0.588236,0.590308,0.563170,15.000000
MinCutSeg SRate:0.50 LCO:13,0.500,13,0.500144,0.443614,0.572048,0.553105,0.551840,0.528079,15.000000
MinCutSeg SRate:0.50 LCO:15,0.500,15,0.493750,0.435484,0.577641,0.559355,0.557101,0.533876,15.000000
MinCutSeg SRate:0.60 LCO:5,0.600,5,0.520457,0.449446,0.563517,0.536938,0.639355,0.559359,17.916667
MinCutSeg SRate:0.60 LCO:7,0.600,7,0.496746,0.425439,0.583512,0.554725,0.673644,0.582883,17.916667
MinCutSeg SRate:0.60 LCO:9,0.600,9,0.501253,0.427913,0.579279,0.550983,0.663291,0.577261,17.916667
MinCutSeg SRate:0.60 LCO:11,0.600,11,0.511057,0.437717,0.569755,0.542650,0.648139,0.566509,17.916667
MinCutSeg SRate:0.60 LCO:13,0.600,13,0.501784,0.428444,0.578682,0.550752,0.660345,0.575900,17.916667
MinCutSeg SRate:0.60 LCO:15,0.600,15,0.500156,0.427112,0.579777,0.551392,0.661769,0.577360,17.916667
MinCutSeg SRate:0.70 LCO:5,0.700,5,0.527807,0.437656,0.567221,0.536006,0.745936,0.598667,21.000000
MinCutSeg SRate:0.70 LCO:7,0.700,7,0.540210,0.446291,0.559413,0.529970,0.737205,0.591947,21.000000
MinCutSeg SRate:0.70 LCO:9,0.700,9,0.566681,0.472761,0.534738,0.508835,0.711637,0.570239,21.000000
MinCutSeg SRate:0.70 LCO:11,0.700,11,0.561035,0.469148,0.536548,0.509191,0.724011,0.574605,21.000000
MinCutSeg SRate:0.70 LCO:13,0.700,13,0.564065,0.472179,0.533572,0.506998,0.719844,0.571732,21.000000
MinCutSeg SRate:0.70 LCO:15,0.700,15,0.551060,0.459173,0.546191,0.516592,0.734130,0.583034,21.000000
