Algoritmo,NSEGRATE,LENCUTOFF,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
MinCutSeg SRate:0.20 LCO:5,0.200,5,0.522861,0.498810,0.529876,0.511640,0.167253,0.241098,5.833333
MinCutSeg SRate:0.20 LCO:7,0.200,7,0.515705,0.489621,0.543528,0.556415,0.183258,0.263466,5.833333
MinCutSeg SRate:0.20 LCO:9,0.200,9,0.516054,0.490267,0.545096,0.564286,0.188549,0.267921,5.833333
MinCutSeg SRate:0.20 LCO:11,0.200,11,0.493375,0.466995,0.561456,0.617063,0.207729,0.295860,5.833333
MinCutSeg SRate:0.20 LCO:13,0.200,13,0.490773,0.464393,0.563990,0.625992,0.206106,0.295860,5.833333
MinCutSeg SRate:0.20 LCO:15,0.200,15,0.489752,0.457867,0.568308,0.637302,0.219472,0.310675,5.833333
MinCutSeg SRate:0.40 LCO:5,0.400,5,0.483794,0.446700,0.571097,0.565811,0.453430,0.477276,11.916667
MinCutSeg SRate:0.40 LCO:7,0.400,7,0.476582,0.430215,0.589047,0.595453,0.456136,0.491097,11.916667
MinCutSeg SRate:0.40 LCO:9,0.400,9,0.443810,0.407860,0.613859,0.629484,0.494135,0.526255,11.916667
MinCutSeg SRate:0.40 LCO:11,0.400,11,0.449720,0.411737,0.601079,0.608849,0.483024,0.512386,11.916667
MinCutSeg SRate:0.40 LCO:13,0.400,13,0.461964,0.422245,0.589412,0.592071,0.472111,0.498611,11.916667
MinCutSeg SRate:0.40 LCO:15,0.400,15,0.471233,0.431514,0.580468,0.578761,0.467782,0.490291,11.916667
