Algoritmo,STEP,WINSIZE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextTilin w:35 s:25,25,35,0.489854,0.471308,0.559629,0.515494,0.268534,0.347982,8.083333
TextTilin w:40 s:25,25,40,0.495936,0.477092,0.554032,0.557011,0.254482,0.338300,7.666667
TextTilin w:45 s:25,25,45,0.496913,0.476333,0.553695,0.523743,0.275183,0.351106,7.916667
TextTilin w:50 s:25,25,50,0.487666,0.465054,0.564679,0.545283,0.263618,0.345516,7.250000
TextTilin w:55 s:25,25,55,0.474717,0.453842,0.569576,0.551190,0.275120,0.358191,7.583333
TextTilin w:35 s:35,35,35,0.490124,0.470984,0.559505,0.574537,0.222604,0.310161,6.333333
TextTilin w:40 s:35,35,40,0.499592,0.480749,0.551931,0.562187,0.226539,0.310469,6.333333
TextTilin w:45 s:35,35,45,0.511703,0.494892,0.540738,0.549549,0.220626,0.295771,6.583333
TextTilin w:50 s:35,35,50,0.512145,0.493599,0.532251,0.521032,0.212948,0.285027,6.666667
TextTilin w:55 s:35,35,55,0.502549,0.481970,0.544783,0.526389,0.203752,0.286468,6.416667
TextTilin w:35 s:45,45,35,0.486574,0.468027,0.565738,0.601058,0.200974,0.291559,5.666667
TextTilin w:40 s:45,45,40,0.502292,0.483746,0.550941,0.547727,0.186156,0.269196,5.666667
TextTilin w:45 s:45,45,45,0.500812,0.480529,0.557158,0.554861,0.196937,0.276587,5.750000
TextTilin w:50 s:45,45,50,0.498979,0.480135,0.550181,0.547330,0.208027,0.286842,5.916667
TextTilin w:55 s:45,45,55,0.515465,0.491117,0.535853,0.533333,0.188312,0.263811,6.083333
TextTilin w:35 s:55,55,35,0.497364,0.482289,0.554286,0.580754,0.172099,0.252652,4.833333
TextTilin w:40 s:55,55,40,0.523523,0.503241,0.530940,0.509524,0.143359,0.211269,4.833333
TextTilin w:45 s:55,55,45,0.522648,0.504101,0.523113,0.444048,0.118621,0.181504,4.666667
TextTilin w:50 s:55,55,50,0.516019,0.497473,0.527328,0.404167,0.142235,0.204793,5.083333
TextTilin w:55 s:55,55,55,0.492281,0.469966,0.561366,0.615575,0.182293,0.269922,5.083333
TextTilin w:35 s:65,65,35,0.493866,0.477055,0.555276,0.587500,0.134404,0.214156,4.166667
TextTilin w:40 s:65,65,40,0.505443,0.486600,0.545616,0.505556,0.124420,0.191319,4.166667
TextTilin w:45 s:65,65,45,0.478055,0.457476,0.575291,0.640278,0.168239,0.257360,4.250000
TextTilin w:50 s:65,65,50,0.481891,0.466520,0.564982,0.478770,0.174552,0.251784,4.583333
TextTilin w:55 s:65,65,55,0.477345,0.458798,0.576869,0.586508,0.192051,0.283754,4.583333
