Doc,BayesSeg Pr:0.07 dp:0.30 sr:auto,BayesSeg Pr:0.08 dp:0.30 sr:auto,BayesSeg Pr:0.09 dp:0.30 sr:auto,BayesSeg Pr:0.07 dp:0.50 sr:auto,BayesSeg Pr:0.08 dp:0.50 sr:auto,BayesSeg Pr:0.09 dp:0.50 sr:auto,BayesSeg Pr:0.07 dp:0.30 sr:0.300,BayesSeg Pr:0.08 dp:0.30 sr:0.300,BayesSeg Pr:0.09 dp:0.30 sr:0.300,BayesSeg Pr:0.07 dp:0.50 sr:0.300,BayesSeg Pr:0.08 dp:0.50 sr:0.300,BayesSeg Pr:0.09 dp:0.50 sr:0.300,BayesSeg Pr:0.07 dp:0.30 sr:0.600,BayesSeg Pr:0.08 dp:0.30 sr:0.600,BayesSeg Pr:0.09 dp:0.30 sr:0.600,BayesSeg Pr:0.07 dp:0.50 sr:0.600,BayesSeg Pr:0.08 dp:0.50 sr:0.600,BayesSeg Pr:0.09 dp:0.50 sr:0.600
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.640,0.680,0.680,0.640,0.680,0.680,0.560,0.560,0.560,0.560,0.560,0.560,0.600,0.600,0.600,0.600,0.600,0.600
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.588,0.588,0.529,0.588,0.588,0.529,0.294,0.294,0.294,0.294,0.294,0.294,0.588,0.588,0.588,0.588,0.588,0.588
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.538,0.538,0.538,0.538,0.538,0.538,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.577
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.538,0.538,0.538,0.538,0.538,0.538,0.500,0.500,0.500,0.500,0.500,0.500,0.654,0.654,0.654,0.654,0.654,0.654
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.758,0.727,0.697,0.758,0.727,0.697,0.667,0.667,0.667,0.667,0.667,0.667,0.727,0.727,0.727,0.727,0.727,0.727
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.545,0.545,0.545,0.545,0.545,0.545,0.455,0.455,0.455,0.455,0.455,0.455,0.636,0.636,0.636,0.636,0.636,0.636
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.650,0.650,0.600,0.650,0.650,0.600,0.800,0.800,0.800,0.800,0.800,0.800,0.600,0.600,0.600,0.600,0.600,0.600
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.571,0.571,0.571,0.571,0.571,0.571
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.583,0.542,0.583,0.583,0.542,0.542,0.625,0.625,0.625,0.625,0.625,0.625,0.500,0.500,0.500,0.500,0.500,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.740,0.740,0.740,0.740,0.740,0.740,0.760,0.760,0.720,0.760,0.720,0.720,0.620,0.620,0.620,0.620,0.620,0.620
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.791,0.814,0.791,0.791,0.814,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.628,0.628,0.628,0.628,0.628,0.628
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.714,0.714,0.714,0.714,0.714,0.696,0.714,0.714,0.714,0.714,0.714,0.714,0.554,0.554,0.554,0.554,0.554,0.554
