Doc,BayesSeg Pr:0.07 dp:0.30 sr:auto,BayesSeg Pr:0.08 dp:0.30 sr:auto,BayesSeg Pr:0.09 dp:0.30 sr:auto,BayesSeg Pr:0.07 dp:0.50 sr:auto,BayesSeg Pr:0.08 dp:0.50 sr:auto,BayesSeg Pr:0.09 dp:0.50 sr:auto,BayesSeg Pr:0.07 dp:0.30 sr:0.300,BayesSeg Pr:0.08 dp:0.30 sr:0.300,BayesSeg Pr:0.09 dp:0.30 sr:0.300,BayesSeg Pr:0.07 dp:0.50 sr:0.300,BayesSeg Pr:0.08 dp:0.50 sr:0.300,BayesSeg Pr:0.09 dp:0.50 sr:0.300,BayesSeg Pr:0.07 dp:0.30 sr:0.600,BayesSeg Pr:0.08 dp:0.30 sr:0.600,BayesSeg Pr:0.09 dp:0.30 sr:0.600,BayesSeg Pr:0.07 dp:0.50 sr:0.600,BayesSeg Pr:0.08 dp:0.50 sr:0.600,BayesSeg Pr:0.09 dp:0.50 sr:0.600
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.640,0.667,0.667,0.640,0.667,0.667,0.476,0.476,0.476,0.476,0.476,0.476,0.643,0.643,0.643,0.643,0.643,0.643
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.667,0.667,0.600,0.667,0.667,0.600,0.250,0.250,0.250,0.250,0.250,0.250,0.667,0.667,0.667,0.667,0.667,0.667
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.500,0.500,0.500,0.500,0.500,0.500,0.476,0.476,0.476,0.476,0.476,0.476,0.621,0.621,0.621,0.621,0.621,0.621
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.500,0.500,0.500,0.500,0.500,0.500,0.381,0.381,0.381,0.381,0.381,0.381,0.690,0.690,0.690,0.690,0.690,0.690
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.733,0.690,0.643,0.733,0.690,0.643,0.593,0.593,0.593,0.593,0.593,0.593,0.757,0.757,0.757,0.757,0.757,0.757
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.615,0.615,0.615,0.615,0.615,0.615,0.400,0.400,0.400,0.400,0.400,0.400,0.714,0.714,0.714,0.714,0.714,0.714
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.533,0.533,0.429,0.533,0.533,0.429,0.667,0.667,0.667,0.667,0.667,0.667,0.556,0.556,0.556,0.556,0.556,0.556
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.526,0.526,0.526,0.526,0.526,0.526,0.571,0.571,0.571,0.571,0.571,0.571,0.516,0.516,0.516,0.516,0.516,0.516
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.545,0.476,0.500,0.545,0.476,0.476,0.471,0.471,0.471,0.471,0.471,0.471,0.500,0.500,0.500,0.500,0.500,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.316,0.316,0.316,0.316,0.316,0.316,0.538,0.538,0.462,0.538,0.462,0.462,0.537,0.537,0.537,0.537,0.537,0.537
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.571,0.600,0.526,0.571,0.600,0.526,0.609,0.609,0.609,0.609,0.609,0.609,0.556,0.556,0.556,0.556,0.556,0.556
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.500,0.500,0.500,0.500,0.500,0.452,0.556,0.556,0.556,0.556,0.556,0.556,0.528,0.528,0.528,0.528,0.528,0.528
