Doc,BayesSeg Pr:0.07 dp:0.30 sr:auto,BayesSeg Pr:0.08 dp:0.30 sr:auto,BayesSeg Pr:0.09 dp:0.30 sr:auto,BayesSeg Pr:0.07 dp:0.50 sr:auto,BayesSeg Pr:0.08 dp:0.50 sr:auto,BayesSeg Pr:0.09 dp:0.50 sr:auto,BayesSeg Pr:0.07 dp:0.30 sr:0.300,BayesSeg Pr:0.08 dp:0.30 sr:0.300,BayesSeg Pr:0.09 dp:0.30 sr:0.300,BayesSeg Pr:0.07 dp:0.50 sr:0.300,BayesSeg Pr:0.08 dp:0.50 sr:0.300,BayesSeg Pr:0.09 dp:0.50 sr:0.300,BayesSeg Pr:0.07 dp:0.30 sr:0.600,BayesSeg Pr:0.08 dp:0.30 sr:0.600,BayesSeg Pr:0.09 dp:0.30 sr:0.600,BayesSeg Pr:0.07 dp:0.50 sr:0.600,BayesSeg Pr:0.08 dp:0.50 sr:0.600,BayesSeg Pr:0.09 dp:0.50 sr:0.600
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.375,0.333,0.333,0.375,0.333,0.333,0.458,0.458,0.458,0.458,0.458,0.458,0.417,0.417,0.417,0.417,0.417,0.417
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.438,0.438,0.500,0.438,0.438,0.500,0.750,0.750,0.750,0.750,0.750,0.750,0.438,0.438,0.438,0.438,0.438,0.438
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.480,0.480,0.480,0.480,0.480,0.480,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.480,0.480,0.480,0.480,0.480,0.480,0.520,0.520,0.520,0.520,0.520,0.520,0.360,0.360,0.360,0.360,0.360,0.360
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.250,0.281,0.313,0.250,0.281,0.313,0.344,0.344,0.344,0.344,0.344,0.344,0.281,0.281,0.281,0.281,0.281,0.281
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.600,0.600,0.600,0.600,0.600,0.400,0.400,0.400,0.400,0.400,0.400
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.368,0.368,0.421,0.368,0.368,0.421,0.211,0.211,0.211,0.211,0.211,0.211,0.421,0.421,0.421,0.421,0.421,0.421
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.441,0.441,0.441,0.441,0.441,0.441
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.435,0.478,0.435,0.435,0.478,0.478,0.391,0.391,0.391,0.391,0.391,0.391,0.522,0.522,0.522,0.522,0.522,0.522
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.750,0.750,0.750,0.750,0.750,0.750
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.317,0.268,0.317,0.317,0.268,0.317,0.366,0.366,0.366,0.366,0.366,0.366,0.756,0.756,0.756,0.756,0.756,0.756
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.291,0.291,0.291,0.291,0.291,0.309,0.291,0.291,0.291,0.291,0.291,0.291,0.455,0.455,0.455,0.455,0.455,0.455
