Doc,C99 sr:10 rs: 3 w:T,C99 sr:30 rs: 3 w:T,C99 sr:50 rs: 3 w:T,C99 sr:10 rs: 5 w:T,C99 sr:30 rs: 5 w:T,C99 sr:50 rs: 5 w:T,C99 sr:10 rs: 7 w:T,C99 sr:30 rs: 7 w:T,C99 sr:50 rs: 7 w:T,C99 sr:10 rs: 3 w:F,C99 sr:30 rs: 3 w:F,C99 sr:50 rs: 3 w:F,C99 sr:10 rs: 5 w:F,C99 sr:30 rs: 5 w:F,C99 sr:50 rs: 5 w:F,C99 sr:10 rs: 7 w:F,C99 sr:30 rs: 7 w:F,C99 sr:50 rs: 7 w:F
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.440,0.560,0.600,0.440,0.480,0.600,0.440,0.480,0.680,0.440,0.560,0.600,0.440,0.480,0.520,0.440,0.480,0.520
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.353,0.412,0.647,0.353,0.412,0.647,0.353,0.412,0.647,0.353,0.529,0.647,0.353,0.529,0.647,0.353,0.412,0.647
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.538,0.577,0.692,0.538,0.500,0.692,0.538,0.577,0.615,0.538,0.577,0.615,0.538,0.500,0.615,0.538,0.500,0.615
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.385,0.500,0.615,0.385,0.346,0.538,0.385,0.423,0.462,0.385,0.500,0.538,0.385,0.346,0.538,0.385,0.346,0.538
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.455,0.606,0.758,0.455,0.606,0.758,0.455,0.606,0.818,0.455,0.606,0.758,0.455,0.485,0.697,0.455,0.667,0.818
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.273,0.455,0.545,0.273,0.273,0.545,0.273,0.273,0.545,0.273,0.455,0.545,0.273,0.273,0.545,0.273,0.273,0.545
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.600,0.800,0.800,0.600,0.800,0.600,0.600,0.700,0.600,0.600,0.700,0.600,0.600,0.700,0.600,0.600,0.700,0.600
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.657,0.629,0.657,0.657,0.571,0.543,0.657,0.571,0.543,0.657,0.629,0.543,0.657,0.514,0.543,0.657,0.514,0.543
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.500,0.625,0.417,0.500,0.625,0.417,0.500,0.625,0.500,0.500,0.625,0.417,0.500,0.625,0.417,0.500,0.625,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.720,0.640,0.560,0.720,0.760,0.640,0.720,0.680,0.560,0.720,0.760,0.640,0.720,0.720,0.600,0.720,0.720,0.600
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.814,0.744,0.628,0.814,0.698,0.581,0.814,0.744,0.581,0.814,0.744,0.628,0.814,0.698,0.581,0.814,0.698,0.581
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.696,0.607,0.625,0.696,0.786,0.696,0.696,0.750,0.696,0.661,0.607,0.589,0.696,0.714,0.589,0.696,0.714,0.589
