Doc,C99 sr:10 rs: 3 w:T,C99 sr:30 rs: 3 w:T,C99 sr:50 rs: 3 w:T,C99 sr:10 rs: 5 w:T,C99 sr:30 rs: 5 w:T,C99 sr:50 rs: 5 w:T,C99 sr:10 rs: 7 w:T,C99 sr:30 rs: 7 w:T,C99 sr:50 rs: 7 w:T,C99 sr:10 rs: 3 w:F,C99 sr:30 rs: 3 w:F,C99 sr:50 rs: 3 w:F,C99 sr:10 rs: 5 w:F,C99 sr:30 rs: 5 w:F,C99 sr:50 rs: 5 w:F,C99 sr:10 rs: 7 w:F,C99 sr:30 rs: 7 w:F,C99 sr:50 rs: 7 w:F
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.125,0.476,0.615,0.125,0.381,0.615,0.125,0.381,0.692,0.125,0.476,0.615,0.125,0.381,0.538,0.125,0.381,0.538
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.154,0.375,0.700,0.154,0.375,0.700,0.154,0.375,0.700,0.154,0.500,0.700,0.154,0.500,0.700,0.154,0.375,0.700
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.250,0.476,0.692,0.250,0.381,0.692,0.250,0.476,0.615,0.250,0.476,0.615,0.250,0.381,0.615,0.250,0.381,0.615
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.000,0.381,0.615,0.000,0.190,0.538,0.000,0.286,0.462,0.000,0.381,0.538,0.000,0.190,0.538,0.000,0.190,0.538
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.100,0.519,0.765,0.100,0.519,0.765,0.100,0.519,0.824,0.100,0.519,0.765,0.100,0.370,0.706,0.100,0.593,0.824
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.000,0.400,0.615,0.000,0.200,0.615,0.000,0.200,0.615,0.000,0.400,0.615,0.000,0.200,0.615,0.000,0.200,0.615
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.000,0.667,0.750,0.000,0.667,0.500,0.000,0.500,0.500,0.000,0.500,0.500,0.000,0.500,0.500,0.000,0.500,0.500
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.143,0.381,0.571,0.143,0.286,0.429,0.143,0.286,0.429,0.143,0.381,0.429,0.143,0.190,0.429,0.143,0.190,0.429
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.000,0.471,0.364,0.000,0.471,0.364,0.000,0.471,0.455,0.000,0.471,0.364,0.000,0.471,0.364,0.000,0.471,0.455
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.125,0.308,0.389,0.125,0.538,0.500,0.125,0.385,0.389,0.125,0.538,0.500,0.125,0.462,0.444,0.125,0.462,0.444
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.429,0.522,0.500,0.429,0.435,0.438,0.429,0.522,0.438,0.429,0.522,0.500,0.429,0.435,0.438,0.429,0.435,0.438
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.320,0.389,0.553,0.320,0.667,0.638,0.320,0.611,0.638,0.240,0.389,0.511,0.320,0.556,0.511,0.320,0.556,0.511
