Doc,C99 sr:10 rs: 3 w:T,C99 sr:30 rs: 3 w:T,C99 sr:50 rs: 3 w:T,C99 sr:10 rs: 5 w:T,C99 sr:30 rs: 5 w:T,C99 sr:50 rs: 5 w:T,C99 sr:10 rs: 7 w:T,C99 sr:30 rs: 7 w:T,C99 sr:50 rs: 7 w:T,C99 sr:10 rs: 3 w:F,C99 sr:30 rs: 3 w:F,C99 sr:50 rs: 3 w:F,C99 sr:10 rs: 5 w:F,C99 sr:30 rs: 5 w:F,C99 sr:50 rs: 5 w:F,C99 sr:10 rs: 7 w:F,C99 sr:30 rs: 7 w:F,C99 sr:50 rs: 7 w:F
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.583,0.458,0.417,0.583,0.542,0.417,0.583,0.542,0.333,0.583,0.458,0.417,0.583,0.542,0.500,0.583,0.542,0.500
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.688,0.625,0.375,0.688,0.625,0.375,0.688,0.625,0.375,0.688,0.500,0.375,0.688,0.500,0.375,0.688,0.625,0.375
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.480,0.440,0.320,0.480,0.520,0.320,0.480,0.440,0.400,0.480,0.440,0.400,0.480,0.520,0.400,0.480,0.520,0.400
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.640,0.520,0.400,0.640,0.680,0.480,0.640,0.600,0.560,0.640,0.520,0.480,0.640,0.680,0.480,0.640,0.680,0.480
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.563,0.406,0.250,0.563,0.406,0.250,0.563,0.406,0.188,0.563,0.406,0.250,0.563,0.531,0.313,0.563,0.344,0.188
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.800,0.600,0.500,0.800,0.800,0.500,0.800,0.800,0.500,0.800,0.600,0.500,0.800,0.800,0.500,0.800,0.800,0.500
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.421,0.211,0.211,0.421,0.211,0.421,0.421,0.316,0.421,0.421,0.316,0.421,0.421,0.316,0.421,0.421,0.316,0.421
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.353,0.382,0.353,0.353,0.441,0.471,0.353,0.441,0.471,0.353,0.382,0.471,0.353,0.500,0.471,0.353,0.500,0.471
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.522,0.391,0.609,0.522,0.391,0.609,0.522,0.391,0.522,0.522,0.391,0.609,0.522,0.391,0.609,0.522,0.391,0.522
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.375,0.417,0.417,0.375,0.292,0.458,0.375,0.438,0.563,0.375,0.271,0.479,0.375,0.354,0.479,0.375,0.375,0.500
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.244,0.390,0.512,0.244,0.366,0.488,0.244,0.293,0.488,0.244,0.366,0.488,0.244,0.390,0.463,0.244,0.366,0.512
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.309,0.400,0.382,0.309,0.218,0.309,0.309,0.255,0.309,0.345,0.400,0.418,0.309,0.291,0.418,0.309,0.291,0.418
