Doc,MinCutSeg sr:0.20 lco:5,MinCutSeg sr:0.20 lco:7,MinCutSeg sr:0.20 lco:9,MinCutSeg sr:0.20 lco:11,MinCutSeg sr:0.20 lco:13,MinCutSeg sr:0.20 lco:15,MinCutSeg sr:0.40 lco:5,MinCutSeg sr:0.40 lco:7,MinCutSeg sr:0.40 lco:9,MinCutSeg sr:0.40 lco:11,MinCutSeg sr:0.40 lco:13,MinCutSeg sr:0.40 lco:15,MinCutSeg sr:0.60 lco:5,MinCutSeg sr:0.60 lco:7,MinCutSeg sr:0.60 lco:9,MinCutSeg sr:0.60 lco:11,MinCutSeg sr:0.60 lco:13,MinCutSeg sr:0.60 lco:15
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.520,0.520,0.520,0.440,0.440,0.440,0.480,0.480,0.480,0.560,0.480,0.400,0.440,0.600,0.600,0.600,0.600,0.600
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.294,0.294,0.412,0.412,0.412,0.412,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.538,0.538,0.462,0.462,0.538,0.538,0.577,0.500,0.577,0.500,0.500,0.577,0.615,0.615,0.615,0.615,0.615,0.615
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.538,0.538,0.538,0.615,0.615,0.538,0.500,0.654,0.654,0.577,0.577,0.577,0.538,0.538,0.462,0.462,0.462,0.462
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.364,0.424,0.424,0.545,0.545,0.545,0.636,0.697,0.576,0.576,0.697,0.697,0.636,0.576,0.576,0.697,0.697,0.697
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.364,0.364,0.364,0.364,0.364,0.364,0.545,0.545,0.364,0.364,0.364,0.364,0.545,0.545,0.545,0.545,0.545,0.545
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.600,0.600,0.600,0.600,0.700,0.700,0.700,0.600,0.800,0.900,0.900,0.900,0.800,0.800,0.800,0.800,0.800,0.800
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.686,0.743,0.743,0.743,0.743,0.743,0.657,0.714,0.714,0.714,0.714,0.714,0.571,0.571,0.686,0.686,0.686,0.686
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.500,0.500,0.500,0.500,0.500,0.500,0.458,0.458,0.458,0.458,0.458,0.458,0.500,0.417,0.417,0.417,0.417,0.417
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.620,0.660,0.700,0.700,0.700,0.700,0.740,0.700,0.700,0.780,0.780,0.780,0.580,0.660,0.620,0.620,0.620,0.620
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.767,0.721,0.767,0.767,0.721,0.814,0.837,0.744,0.744,0.744,0.791,0.791,0.651,0.605,0.651,0.651,0.698,0.651
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.679,0.643,0.607,0.643,0.679,0.679,0.589,0.589,0.554,0.589,0.589,0.589,0.500,0.429,0.500,0.500,0.500,0.500
