Doc,MinCutSeg sr:0.20 lco:5,MinCutSeg sr:0.20 lco:7,MinCutSeg sr:0.20 lco:9,MinCutSeg sr:0.20 lco:11,MinCutSeg sr:0.20 lco:13,MinCutSeg sr:0.20 lco:15,MinCutSeg sr:0.40 lco:5,MinCutSeg sr:0.40 lco:7,MinCutSeg sr:0.40 lco:9,MinCutSeg sr:0.40 lco:11,MinCutSeg sr:0.40 lco:13,MinCutSeg sr:0.40 lco:15,MinCutSeg sr:0.60 lco:5,MinCutSeg sr:0.60 lco:7,MinCutSeg sr:0.60 lco:9,MinCutSeg sr:0.60 lco:11,MinCutSeg sr:0.60 lco:13,MinCutSeg sr:0.60 lco:15
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.333,0.333,0.333,0.222,0.222,0.222,0.435,0.435,0.435,0.522,0.435,0.348,0.500,0.643,0.643,0.643,0.643,0.643
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.143,0.143,0.286,0.286,0.286,0.286,0.588,0.588,0.588,0.588,0.588,0.588,0.667,0.667,0.667,0.667,0.667,0.667
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.333,0.333,0.222,0.222,0.333,0.333,0.522,0.435,0.522,0.435,0.435,0.522,0.643,0.643,0.643,0.643,0.643,0.643
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.333,0.333,0.333,0.444,0.444,0.333,0.435,0.609,0.609,0.522,0.522,0.522,0.571,0.571,0.500,0.500,0.500,0.500
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.087,0.174,0.174,0.348,0.348,0.348,0.600,0.667,0.533,0.533,0.667,0.667,0.667,0.611,0.611,0.722,0.722,0.722
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.222,0.222,0.222,0.222,0.222,0.222,0.545,0.545,0.364,0.364,0.364,0.364,0.615,0.615,0.615,0.615,0.615,0.615
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.200,0.200,0.200,0.200,0.400,0.400,0.571,0.429,0.714,0.857,0.857,0.857,0.778,0.778,0.778,0.778,0.778,0.778
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.353,0.471,0.471,0.471,0.471,0.471,0.500,0.583,0.583,0.583,0.583,0.583,0.516,0.516,0.645,0.645,0.645,0.645
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.143,0.143,0.143,0.143,0.143,0.143,0.316,0.316,0.316,0.316,0.316,0.316,0.500,0.417,0.417,0.417,0.417,0.417
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.095,0.190,0.286,0.286,0.286,0.286,0.581,0.516,0.516,0.645,0.645,0.645,0.488,0.585,0.537,0.537,0.537,0.537
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.444,0.333,0.444,0.444,0.333,0.556,0.741,0.593,0.593,0.593,0.667,0.667,0.571,0.514,0.571,0.571,0.629,0.571
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.400,0.333,0.267,0.333,0.400,0.400,0.439,0.439,0.390,0.439,0.439,0.439,0.462,0.385,0.462,0.462,0.462,0.462
