Doc,MinCutSeg sr:0.20 lco:5,MinCutSeg sr:0.20 lco:7,MinCutSeg sr:0.20 lco:9,MinCutSeg sr:0.20 lco:11,MinCutSeg sr:0.20 lco:13,MinCutSeg sr:0.20 lco:15,MinCutSeg sr:0.40 lco:5,MinCutSeg sr:0.40 lco:7,MinCutSeg sr:0.40 lco:9,MinCutSeg sr:0.40 lco:11,MinCutSeg sr:0.40 lco:13,MinCutSeg sr:0.40 lco:15,MinCutSeg sr:0.60 lco:5,MinCutSeg sr:0.60 lco:7,MinCutSeg sr:0.60 lco:9,MinCutSeg sr:0.60 lco:11,MinCutSeg sr:0.60 lco:13,MinCutSeg sr:0.60 lco:15
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.500,0.500,0.500,0.583,0.583,0.583,0.542,0.542,0.542,0.458,0.542,0.625,0.583,0.417,0.417,0.417,0.417,0.417
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.750,0.750,0.625,0.625,0.625,0.625,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.480,0.480,0.560,0.560,0.480,0.480,0.440,0.520,0.440,0.520,0.520,0.440,0.400,0.400,0.400,0.400,0.400,0.400
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.480,0.480,0.480,0.400,0.400,0.480,0.520,0.360,0.360,0.440,0.440,0.440,0.480,0.480,0.560,0.560,0.560,0.560
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.656,0.594,0.594,0.469,0.469,0.469,0.375,0.313,0.438,0.438,0.313,0.313,0.375,0.438,0.438,0.313,0.313,0.313
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.700,0.700,0.700,0.700,0.700,0.700,0.500,0.500,0.700,0.700,0.700,0.700,0.500,0.500,0.500,0.500,0.500,0.500
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.421,0.421,0.421,0.421,0.316,0.316,0.316,0.421,0.211,0.105,0.105,0.105,0.211,0.211,0.211,0.211,0.211,0.211
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.324,0.265,0.265,0.265,0.265,0.265,0.353,0.294,0.294,0.294,0.294,0.294,0.441,0.441,0.324,0.324,0.324,0.324
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.522,0.522,0.522,0.522,0.522,0.522,0.565,0.565,0.565,0.565,0.565,0.565,0.522,0.609,0.609,0.609,0.609,0.609
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.417,0.396,0.333,0.333,0.333,0.333,0.271,0.333,0.333,0.250,0.250,0.250,0.417,0.271,0.354,0.354,0.354,0.354
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.293,0.366,0.293,0.268,0.317,0.220,0.146,0.220,0.244,0.220,0.220,0.171,0.293,0.341,0.317,0.317,0.220,0.293
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.327,0.364,0.400,0.364,0.327,0.327,0.418,0.418,0.455,0.418,0.418,0.418,0.509,0.582,0.509,0.509,0.509,0.509
