Doc,PseudoSeg
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.600
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.765
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.577
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.577
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.576
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.818
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.400
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.343
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.500
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.260
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.279
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.375
