Doc,PseudoSeg
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.737
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.857
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.718
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.718
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.720
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.889
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.538
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.489
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.647
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.393
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.415
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.533
