Doc,TextSeg sr:0.10,TextSeg sr:0.15,TextSeg sr:0.20,TextSeg sr:0.25,TextSeg sr:0.30,TextSeg sr:0.35,TextSeg sr:0.40,TextSeg sr:0.45,TextSeg sr:0.50,TextSeg sr:0.55,TextSeg sr:0.60,TextSeg sr:0.65,TextSeg sr:0.70,TextSeg sr:0.75,TextSeg sr:0.80,TextSeg sr:0.85
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.250,0.000,0.111,0.211,0.286,0.455,0.435,0.500,0.615,0.667,0.643,0.621,0.645,0.625,0.667,0.706
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.000,0.286,0.286,0.133,0.250,0.471,0.444,0.421,0.500,0.500,0.667,0.636,0.696,0.750,0.800,0.800
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.000,0.118,0.333,0.300,0.286,0.364,0.435,0.560,0.538,0.593,0.690,0.733,0.710,0.667,0.706,0.686
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.250,0.235,0.333,0.300,0.381,0.364,0.435,0.560,0.538,0.593,0.621,0.667,0.645,0.667,0.647,0.629
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.200,0.273,0.417,0.480,0.593,0.621,0.667,0.688,0.765,0.743,0.703,0.684,0.700,0.714,0.744,0.756
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.000,0.222,0.222,0.400,0.400,0.364,0.364,0.500,0.615,0.615,0.571,0.571,0.667,0.667,0.750,0.750
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.000,0.222,0.400,0.545,0.500,0.615,0.714,0.667,0.625,0.588,0.556,0.526,0.500,0.476,0.455,0.435
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.429,0.400,0.353,0.316,0.381,0.455,0.500,0.538,0.571,0.552,0.516,0.485,0.457,0.444,0.474,0.500
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.167,0.429,0.533,0.375,0.353,0.444,0.400,0.476,0.455,0.435,0.500,0.538,0.519,0.571,0.552,0.600
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.250,0.211,0.381,0.333,0.462,0.414,0.516,0.471,0.500,0.513,0.488,0.455,0.435,0.408,0.392,0.407
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.429,0.375,0.526,0.571,0.696,0.720,0.741,0.690,0.563,0.529,0.556,0.579,0.500,0.476,0.455,0.468
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.320,0.296,0.267,0.424,0.444,0.410,0.439,0.455,0.468,0.480,0.604,0.509,0.621,0.459,0.500,0.478
