Doc,TextSeg sr:0.10,TextSeg sr:0.15,TextSeg sr:0.20,TextSeg sr:0.25,TextSeg sr:0.30,TextSeg sr:0.35,TextSeg sr:0.40,TextSeg sr:0.45,TextSeg sr:0.50,TextSeg sr:0.55,TextSeg sr:0.60,TextSeg sr:0.65,TextSeg sr:0.70,TextSeg sr:0.75,TextSeg sr:0.80,TextSeg sr:0.85
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.500,0.708,0.667,0.625,0.625,0.500,0.542,0.500,0.417,0.375,0.417,0.458,0.458,0.500,0.458,0.417
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.813,0.625,0.625,0.813,0.750,0.563,0.625,0.688,0.625,0.625,0.438,0.500,0.438,0.375,0.313,0.313
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.640,0.600,0.480,0.560,0.600,0.560,0.520,0.440,0.480,0.440,0.360,0.320,0.360,0.440,0.400,0.440
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.480,0.520,0.480,0.560,0.520,0.560,0.520,0.440,0.480,0.440,0.440,0.400,0.440,0.440,0.480,0.520
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.500,0.500,0.438,0.406,0.344,0.344,0.313,0.313,0.250,0.281,0.344,0.375,0.375,0.375,0.344,0.344
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.800,0.700,0.700,0.600,0.600,0.700,0.700,0.600,0.500,0.500,0.600,0.600,0.500,0.500,0.400,0.400
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.421,0.368,0.316,0.263,0.316,0.263,0.211,0.263,0.316,0.368,0.421,0.474,0.526,0.579,0.632,0.684
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.235,0.265,0.324,0.382,0.382,0.353,0.353,0.353,0.353,0.382,0.441,0.500,0.559,0.588,0.588,0.588
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.435,0.348,0.304,0.435,0.478,0.435,0.522,0.478,0.522,0.565,0.522,0.522,0.565,0.522,0.565,0.522
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.438,0.458,0.417,0.500,0.500,0.583,0.583,0.708,0.708,0.750,0.833,0.958,1.042,1.167,1.208,1.292
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.341,0.341,0.317,0.366,0.317,0.317,0.317,0.415,0.610,0.707,0.756,0.780,0.951,1.049,1.146,1.220
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.309,0.345,0.400,0.345,0.364,0.418,0.418,0.436,0.455,0.473,0.382,0.491,0.400,0.600,0.582,0.636
