Doc,TextTiling w:30 s:20,TextTiling w:40 s:20,TextTiling w:50 s:20,TextTiling w:60 s:20,TextTiling w:30 s:30,TextTiling w:40 s:30,TextTiling w:50 s:30,TextTiling w:60 s:30,TextTiling w:30 s:40,TextTiling w:40 s:40,TextTiling w:50 s:40,TextTiling w:60 s:40,TextTiling w:30 s:50,TextTiling w:40 s:50,TextTiling w:50 s:50,TextTiling w:60 s:50,TextTiling w:30 s:60,TextTiling w:40 s:60,TextTiling w:50 s:60,TextTiling w:60 s:60
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.320,0.440,0.440,0.440,0.440,0.480,0.560,0.440,0.520,0.520,0.520,0.520,0.520,0.520,0.480,0.520,0.520,0.520,0.480,0.480
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.353,0.412,0.471,0.412,0.235,0.471,0.353,0.294,0.235,0.412,0.353,0.294,0.412,0.353,0.412,0.353,0.353,0.353,0.294,0.353
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.346,0.462,0.269,0.423,0.462,0.615,0.423,0.423,0.500,0.500,0.500,0.385,0.538,0.423,0.500,0.500,0.462,0.538,0.577,0.462
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.615,0.308,0.577,0.346,0.423,0.462,0.423,0.308,0.500,0.462,0.385,0.423,0.500,0.500,0.462,0.500,0.500,0.385,0.462,0.500
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.667,0.636,0.606,0.667,0.485,0.455,0.545,0.545,0.455,0.576,0.515,0.424,0.485,0.424,0.424,0.485,0.424,0.515,0.515,0.455
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.364,0.364,0.455,0.364,0.545,0.273,0.455,0.364,0.455,0.364,0.364,0.545,0.364,0.455,0.364,0.455,0.455,0.364,0.455,0.545
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.700,0.500,0.750,0.600,0.650,0.550,0.500,0.600,0.650,0.700,0.650,0.650,0.750,0.600,0.700,0.600,0.600,0.600,0.650,0.750
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.514,0.543,0.686,0.629,0.657,0.686,0.686,0.771,0.629,0.657,0.743,0.657,0.714,0.629,0.657,0.714,0.686,0.657,0.686,0.629
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.542,0.583,0.500,0.667,0.583,0.542,0.500,0.625,0.583,0.542,0.542,0.500,0.583,0.500,0.542,0.583,0.500,0.542,0.583,0.542
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.640,0.720,0.620,0.700,0.660,0.640,0.760,0.680,0.740,0.740,0.720,0.760,0.680,0.800,0.800,0.820,0.760,0.780,0.780,0.760
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.698,0.628,0.698,0.698,0.605,0.698,0.605,0.605,0.721,0.605,0.721,0.674,0.698,0.698,0.721,0.674,0.767,0.698,0.721,0.628
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.607,0.714,0.643,0.732,0.607,0.661,0.625,0.643,0.661,0.679,0.607,0.607,0.696,0.571,0.643,0.661,0.607,0.643,0.625,0.571
