Doc,TextTiling w:30 s:20,TextTiling w:40 s:20,TextTiling w:50 s:20,TextTiling w:60 s:20,TextTiling w:30 s:30,TextTiling w:40 s:30,TextTiling w:50 s:30,TextTiling w:60 s:30,TextTiling w:30 s:40,TextTiling w:40 s:40,TextTiling w:50 s:40,TextTiling w:60 s:40,TextTiling w:30 s:50,TextTiling w:40 s:50,TextTiling w:50 s:50,TextTiling w:60 s:50,TextTiling w:30 s:60,TextTiling w:40 s:60,TextTiling w:50 s:60,TextTiling w:60 s:60
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.105,0.222,0.222,0.222,0.222,0.235,0.353,0.125,0.250,0.250,0.250,0.250,0.250,0.250,0.235,0.250,0.250,0.250,0.235,0.235
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.267,0.375,0.471,0.375,0.133,0.400,0.267,0.143,0.133,0.286,0.154,0.143,0.286,0.154,0.286,0.154,0.154,0.154,0.143,0.154
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.105,0.222,0.000,0.211,0.222,0.444,0.118,0.211,0.235,0.235,0.235,0.000,0.250,0.118,0.235,0.235,0.222,0.250,0.353,0.125
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.545,0.182,0.476,0.190,0.211,0.364,0.286,0.100,0.235,0.300,0.111,0.118,0.235,0.235,0.222,0.235,0.235,0.000,0.125,0.235
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.621,0.571,0.552,0.593,0.370,0.308,0.444,0.400,0.250,0.417,0.333,0.174,0.261,0.174,0.174,0.190,0.095,0.200,0.200,0.100
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.364,0.364,0.500,0.364,0.545,0.200,0.400,0.222,0.400,0.222,0.222,0.545,0.222,0.400,0.364,0.400,0.400,0.222,0.400,0.545
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.500,0.167,0.615,0.333,0.364,0.182,0.167,0.200,0.222,0.400,0.364,0.364,0.545,0.333,0.500,0.200,0.000,0.000,0.222,0.444
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.105,0.111,0.353,0.235,0.250,0.353,0.353,0.500,0.133,0.143,0.308,0.250,0.375,0.133,0.250,0.286,0.154,0.143,0.267,0.133
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.267,0.444,0.333,0.500,0.444,0.267,0.250,0.400,0.286,0.267,0.267,0.143,0.286,0.250,0.267,0.286,0.143,0.267,0.286,0.154
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.308,0.417,0.174,0.400,0.105,0.182,0.455,0.273,0.316,0.316,0.300,0.333,0.111,0.444,0.444,0.471,0.333,0.353,0.353,0.333
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.381,0.273,0.381,0.316,0.105,0.316,0.105,0.190,0.250,0.000,0.250,0.222,0.133,0.235,0.333,0.222,0.375,0.133,0.143,0.000
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.353,0.529,0.444,0.571,0.267,0.345,0.364,0.333,0.345,0.400,0.214,0.214,0.370,0.077,0.333,0.387,0.214,0.231,0.276,0.077
