Doc,TextTiling w:30 s:20,TextTiling w:40 s:20,TextTiling w:50 s:20,TextTiling w:60 s:20,TextTiling w:30 s:30,TextTiling w:40 s:30,TextTiling w:50 s:30,TextTiling w:60 s:30,TextTiling w:30 s:40,TextTiling w:40 s:40,TextTiling w:50 s:40,TextTiling w:60 s:40,TextTiling w:30 s:50,TextTiling w:40 s:50,TextTiling w:50 s:50,TextTiling w:60 s:50,TextTiling w:30 s:60,TextTiling w:40 s:60,TextTiling w:50 s:60,TextTiling w:60 s:60
01 Ata 30 - 26a Reunião Odinária PPGCCS.txt,0.708,0.583,0.583,0.583,0.583,0.542,0.458,0.583,0.500,0.500,0.500,0.500,0.500,0.500,0.542,0.500,0.500,0.500,0.542,0.542
02 Ata 29 - 25a Reunião Odinária PPGCCS.txt,0.688,0.625,0.563,0.625,0.813,0.563,0.688,0.750,0.813,0.625,0.688,0.750,0.625,0.688,0.625,0.688,0.688,0.688,0.750,0.688
03 Ata 36 - 31a Reunião Odinária PPGCCS.txt,0.680,0.560,0.760,0.600,0.560,0.400,0.600,0.600,0.520,0.520,0.520,0.640,0.480,0.600,0.520,0.520,0.560,0.480,0.440,0.560
04 Ata 32 - 28a Reunião Odinária PPGCCS.txt,0.400,0.720,0.440,0.680,0.600,0.560,0.600,0.720,0.520,0.560,0.640,0.600,0.520,0.520,0.560,0.520,0.520,0.640,0.560,0.520
05 Ata 33 - 29a Reunião Odinária PPGCCS.txt,0.344,0.375,0.406,0.344,0.531,0.563,0.469,0.469,0.563,0.438,0.500,0.594,0.531,0.594,0.594,0.531,0.594,0.500,0.500,0.563
06 Ata 35 - 5a Reunião Extraodinária PPGCCS.txt,0.700,0.700,0.600,0.700,0.500,0.800,0.600,0.700,0.600,0.700,0.700,0.500,0.700,0.600,0.700,0.600,0.600,0.700,0.600,0.500
07 20ª Reunião Extraordinária CoC-CCS 08-12-10.txt,0.316,0.526,0.263,0.421,0.368,0.474,0.526,0.421,0.368,0.316,0.368,0.368,0.263,0.421,0.316,0.421,0.421,0.421,0.368,0.263
08 25ª Reunião Ordinária CoC-CCS 04-04-12.txt,0.500,0.471,0.324,0.382,0.353,0.324,0.324,0.235,0.382,0.353,0.265,0.353,0.294,0.382,0.353,0.294,0.324,0.353,0.324,0.382
09 40ª Reunião Ordinária CoC-CCS 06-05-15.txt,0.478,0.435,0.522,0.348,0.435,0.478,0.522,0.391,0.435,0.478,0.478,0.522,0.435,0.522,0.478,0.435,0.522,0.478,0.435,0.478
10 20ª Reunião Ordinária CoC-CCS 01-06-11.txt,0.375,0.333,0.500,0.438,0.458,0.521,0.333,0.333,0.417,0.333,0.396,0.333,0.417,0.250,0.250,0.229,0.417,0.313,0.292,0.333
11 10ª Reunião Ordinária CoC-CCS 05-04-10.txt,0.366,0.390,0.366,0.341,0.439,0.317,0.439,0.390,0.244,0.390,0.268,0.366,0.390,0.341,0.317,0.293,0.341,0.341,0.439,0.439
12 13ª Reunião Ordinária CoC-CCS 05-08-10.txt,0.400,0.291,0.364,0.273,0.400,0.345,0.382,0.364,0.345,0.327,0.400,0.400,0.309,0.436,0.364,0.345,0.400,0.364,0.382,0.436
