Kappa,windiff,pk
0.266667,0.310345,0.310345
0.717949,0.206897,0.103448
0.521739,0.344828,0.206897
0.192090,1.551724,0.655172
0.108108,2.172414,0.689655
0.476190,0.586207,0.344828
0.172043,1.758621,0.655172
0.214286,1.551724,0.620690
0.266667,0.310345,0.310345
0.153846,0.379310,0.275862
0.202899,0.310345,0.172414
0.192090,1.655172,0.758621
0.108108,2.275862,0.793103
0.057143,0.896552,0.655172
0.053763,1.862069,0.758621
0.083333,1.724138,0.793103
0.717949,0.166667,0.133333
0.153846,0.366667,0.333333
0.357977,0.333333,0.233333
0.318949,1.000000,0.566667
0.185185,1.500000,0.633333
0.338109,0.633333,0.433333
0.287770,1.166667,0.566667
0.223529,1.133333,0.633333
0.521739,0.300000,0.233333
0.202899,0.233333,0.166667
0.357977,0.333333,0.233333
0.131579,1.066667,0.666667
0.045662,1.633333,0.733333
0.204819,0.766667,0.533333
0.111311,1.233333,0.666667
0.023669,1.133333,0.600000
0.192090,0.406250,0.406250
0.192090,0.406250,0.406250
0.318949,0.343750,0.343750
0.131579,0.437500,0.437500
0.579235,0.218750,0.218750
0.384328,0.312500,0.312500
0.818349,0.093750,0.093750
0.574586,0.218750,0.218750
0.108108,0.562500,0.562500
0.108108,0.562500,0.562500
0.185185,0.500000,0.500000
0.045662,0.593750,0.593750
0.579235,0.218750,0.218750
0.309179,0.406250,0.406250
0.633333,0.187500,0.187500
0.526882,0.250000,0.250000
0.476190,0.322581,0.258065
0.057143,0.548387,0.483871
0.338109,0.451613,0.387097
0.204819,0.516129,0.419355
0.384328,0.548387,0.354839
0.309179,0.806452,0.483871
0.462929,0.580645,0.354839
0.554913,0.451613,0.290323
0.172043,0.437500,0.437500
0.053763,0.500000,0.500000
0.287770,0.375000,0.375000
0.111311,0.468750,0.468750
0.818349,0.093750,0.093750
0.633333,0.187500,0.187500
0.462929,0.281250,0.281250
0.758242,0.125000,0.125000
0.214286,0.375000,0.375000
0.083333,0.437500,0.437500
0.223529,0.375000,0.375000
0.023669,0.468750,0.468750
0.574586,0.218750,0.218750
0.526882,0.250000,0.250000
0.554913,0.218750,0.218750
0.758242,0.125000,0.125000
