Kappa,windiff,pk
0.232558,0.555556,0.444444
0.421053,0.555556,0.444444
0.232558,0.444444,0.444444
0.153846,1.333333,0.666667
0.153846,1.222222,0.666667
0.744186,0.222222,0.111111
0.968750,1.111111,0.777778
0.560000,0.444444,0.222222
0.232558,0.300000,0.300000
0.620690,0.200000,0.200000
0.541667,0.200000,0.200000
0.945205,0.700000,0.700000
0.246575,0.500000,0.500000
0.083333,0.400000,0.400000
0.126984,0.500000,0.500000
0.962264,0.500000,0.500000
0.421053,0.300000,0.300000
0.620690,0.200000,0.200000
0.241379,0.400000,0.400000
0.126984,0.500000,0.500000
0.476190,0.300000,0.300000
0.241379,0.400000,0.400000
0.098361,0.500000,0.500000
0.067797,0.500000,0.500000
0.232558,0.300000,0.300000
0.541667,0.200000,0.200000
0.241379,0.400000,0.400000
0.246575,0.500000,0.500000
0.246575,0.500000,0.500000
0.541667,0.200000,0.200000
0.476190,0.300000,0.300000
0.377358,0.300000,0.300000
0.153846,0.600000,0.600000
0.945205,0.700000,0.700000
0.126984,0.500000,0.500000
0.246575,0.500000,0.500000
0.541667,0.200000,0.200000
0.246575,0.500000,0.500000
0.620690,0.200000,0.200000
0.352941,0.400000,0.400000
0.153846,0.600000,0.600000
0.246575,0.500000,0.500000
0.476190,0.300000,0.300000
0.246575,0.500000,0.500000
0.541667,0.200000,0.200000
0.246575,0.500000,0.500000
0.620690,0.200000,0.200000
0.352941,0.400000,0.400000
0.744186,0.100000,0.100000
0.083333,0.400000,0.400000
0.241379,0.400000,0.400000
0.541667,0.200000,0.200000
0.246575,0.500000,0.500000
0.246575,0.500000,0.500000
0.126984,0.500000,0.500000
0.792453,0.100000,0.100000
0.968750,0.600000,0.600000
0.126984,0.500000,0.500000
0.098361,0.500000,0.500000
0.476190,0.300000,0.300000
0.620690,0.200000,0.200000
0.620690,0.200000,0.200000
0.126984,0.500000,0.500000
0.290323,0.400000,0.400000
0.560000,0.200000,0.200000
0.962264,0.500000,0.500000
0.067797,0.500000,0.500000
0.377358,0.300000,0.300000
0.352941,0.400000,0.400000
0.352941,0.400000,0.400000
0.792453,0.100000,0.100000
0.290323,0.400000,0.400000
