Kappa,windiff,pk
0.823529,0.588235,0.352941
0.230769,0.294118,0.176471
0.318182,0.117647,0.058824
0.200000,1.352941,0.588235
0.951613,1.764706,0.705882
0.230769,0.294118,0.176471
0.230769,0.411765,0.176471
0.318182,0.176471,0.176471
0.823529,0.421053,0.421053
0.210526,0.315789,0.315789
0.305556,0.263158,0.263158
0.800000,0.631579,0.631579
0.017857,0.578947,0.578947
0.210526,0.315789,0.315789
0.947368,0.421053,0.421053
0.305556,0.263158,0.263158
0.230769,0.222222,0.222222
0.210526,0.444444,0.333333
0.482759,0.277778,0.277778
0.000000,0.777778,0.444444
0.237288,1.000000,0.666667
0.375000,0.277778,0.222222
0.375000,0.333333,0.222222
0.137931,0.222222,0.222222
0.318182,0.117647,0.058824
0.305556,0.470588,0.294118
0.482759,0.411765,0.235294
0.100000,1.235294,0.529412
0.173554,1.647059,0.647059
0.482759,0.294118,0.117647
0.482759,0.411765,0.117647
0.607843,0.176471,0.117647
0.200000,0.421053,0.421053
0.800000,0.631579,0.631579
0.000000,0.526316,0.526316
0.100000,0.473684,0.473684
0.900000,0.578947,0.578947
0.200000,0.421053,0.421053
0.400000,0.315789,0.315789
0.300000,0.368421,0.368421
0.951613,0.684211,0.684211
0.017857,0.578947,0.578947
0.237288,0.473684,0.473684
0.173554,0.526316,0.526316
0.900000,0.578947,0.578947
0.237288,0.473684,0.473684
0.237288,0.473684,0.473684
0.008264,0.631579,0.631579
0.230769,0.277778,0.222222
0.210526,0.500000,0.333333
0.375000,0.277778,0.222222
0.482759,0.222222,0.166667
0.200000,0.722222,0.444444
0.237288,0.944444,0.666667
0.687500,0.166667,0.111111
0.482759,0.166667,0.111111
0.230769,0.333333,0.222222
0.947368,0.555556,0.333333
0.375000,0.333333,0.222222
0.482759,0.277778,0.166667
0.400000,0.666667,0.444444
0.237288,0.888889,0.666667
0.687500,0.166667,0.111111
0.482759,0.222222,0.111111
0.318182,0.176471,0.176471
0.305556,0.411765,0.176471
0.137931,0.235294,0.117647
0.607843,0.176471,0.117647
0.300000,1.176471,0.411765
0.008264,1.588235,0.529412
0.482759,0.117647,0.000000
0.482759,0.235294,0.000000
