Kappa,windiff,pk
0.897436,0.368421,0.210526
0.913357,0.263158,0.131579
0.897436,0.421053,0.315789
0.003433,3.026316,0.657895
0.080503,1.710526,0.657895
0.534296,0.052632,0.026316
0.089412,0.631579,0.315789
0.037313,0.947368,0.500000
0.897436,0.275000,0.225000
0.774869,0.150000,0.125000
0.612613,0.200000,0.150000
0.083481,1.675000,0.600000
0.156863,0.950000,0.600000
0.324607,0.200000,0.150000
0.490119,0.350000,0.150000
0.210351,0.600000,0.350000
0.913357,0.230769,0.153846
0.774869,0.179487,0.153846
0.324607,0.384615,0.333333
0.029514,2.461538,0.769231
0.142145,1.435897,0.769231
0.173077,0.179487,0.102564
0.238938,0.589744,0.333333
0.996409,0.923077,0.538462
0.897436,0.275000,0.275000
0.612613,0.200000,0.150000
0.324607,0.300000,0.275000
0.159858,1.575000,0.450000
0.156863,0.800000,0.450000
0.099476,0.200000,0.200000
0.830040,0.150000,0.000000
0.497496,0.400000,0.200000
0.003433,0.642857,0.642857
0.083481,0.571429,0.571429
0.029514,0.619048,0.619048
0.159858,0.523810,0.523810
0.113402,0.476190,0.476190
0.104167,0.571429,0.571429
0.218182,0.476190,0.476190
0.148916,0.500000,0.500000
0.080503,0.404762,0.404762
0.156863,0.380952,0.380952
0.142145,0.380952,0.380952
0.156863,0.380952,0.380952
0.113402,0.476190,0.476190
0.034913,0.428571,0.428571
0.171084,0.380952,0.380952
0.938895,0.500000,0.500000
0.534296,0.051282,0.051282
0.324607,0.256410,0.153846
0.173077,0.179487,0.102564
0.099476,0.307692,0.230769
0.104167,2.384615,0.666667
0.034913,1.358974,0.666667
0.238938,0.461538,0.230769
0.150808,0.743590,0.435897
0.089412,0.341463,0.268293
0.490119,0.243902,0.170732
0.238938,0.341463,0.268293
0.830040,0.097561,0.024390
0.218182,0.951220,0.536585
0.171084,0.634146,0.536585
0.238938,0.317073,0.243902
0.664587,0.195122,0.195122
0.037313,0.439024,0.365854
0.210351,0.390244,0.317073
0.996409,0.487805,0.414634
0.497496,0.292683,0.219512
0.148916,0.902439,0.487805
0.938895,0.487805,0.390244
0.150808,0.414634,0.341463
0.664587,0.195122,0.195122
