WINDIFF DataSet\Algorithm,TT_20_3_T,TT_20_6_T,TT_20_9_T,TT_20_12_T,TT_30_3_T,TT_30_6_T,TT_30_9_T,TT_30_12_T,TT_40_3_T,TT_40_6_T,TT_40_9_T,TT_40_12_T,TT_50_3_T,TT_50_6_T,TT_50_9_T,TT_50_12_T,TT_60_3_T,TT_60_6_T,TT_60_9_T,TT_60_12_T
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.647059,0.529412,0.294118,0.411765,0.647059,0.411765,0.470588,0.352941,0.470588,0.411765,0.235294,0.294118,0.411765,0.411765,0.352941,0.235294,0.352941,0.176471,0.352941,0.235294
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.500000,0.416667,0.375000,0.333333,0.541667,0.500000,0.416667,0.458333,0.416667,0.416667,0.416667,0.541667,0.458333,0.416667,0.458333,0.458333,0.458333,0.500000,0.458333,0.458333
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.555556,0.666667,0.444444,0.444444,0.555556,0.666667,0.222222,0.333333,0.555556,0.666667,0.111111,0.333333,0.555556,0.666667,0.444444,0.444444,0.444444,0.333333,0.333333,0.444444
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.677419,0.612903,0.451613,0.419355,0.612903,0.483871,0.451613,0.354839,0.516129,0.516129,0.483871,0.419355,0.580645,0.419355,0.451613,0.419355,0.516129,0.387097,0.387097,0.322581
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.560000,0.400000,0.240000,0.320000,0.440000,0.440000,0.320000,0.320000,0.240000,0.440000,0.240000,0.320000,0.280000,0.200000,0.240000,0.280000,0.200000,0.320000,0.280000,0.320000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.565217,0.478261,0.347826,0.391304,0.608696,0.608696,0.478261,0.391304,0.478261,0.478261,0.391304,0.347826,0.521739,0.347826,0.304348,0.260870,0.434783,0.434783,0.304348,0.347826
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.176471,0.352941,0.529412,0.529412,0.235294,0.470588,0.529412,0.705882,0.235294,0.411765,0.470588,0.529412,0.294118,0.647059,0.588235,0.588235,0.470588,0.647059,0.588235,0.588235
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.520000,0.440000,0.480000,0.560000,0.480000,0.400000,0.480000,0.600000,0.360000,0.320000,0.320000,0.440000,0.400000,0.400000,0.440000,0.520000,0.440000,0.480000,0.440000,0.440000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.400000,0.500000,0.600000,0.700000,0.300000,0.400000,0.700000,0.800000,0.300000,0.500000,0.600000,0.600000,0.400000,0.700000,0.700000,0.500000,0.500000,0.700000,0.600000,0.500000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.437500,0.437500,0.406250,0.406250,0.375000,0.281250,0.437500,0.343750,0.343750,0.312500,0.406250,0.406250,0.437500,0.343750,0.375000,0.343750,0.375000,0.312500,0.312500,0.312500
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.346154,0.500000,0.500000,0.576923,0.346154,0.461538,0.576923,0.730769,0.500000,0.615385,0.576923,0.653846,0.461538,0.615385,0.576923,0.615385,0.461538,0.576923,0.615385,0.576923
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.384615,0.384615,0.384615,0.500000,0.423077,0.461538,0.461538,0.500000,0.461538,0.538462,0.500000,0.538462,0.500000,0.461538,0.500000,0.461538,0.384615,0.423077,0.461538,0.538462
