ACURACY DataSet\Algorithm,C99_60_9_true_T,TT_40_9_T,C99_60_9_true_F,TT_50_6_F
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.529412,0.764706,0.647059,0.647059
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,0.583333,0.583333,0.666667
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.777778,0.888889,0.777778,0.888889
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.612903,0.516129,0.612903,0.548387
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.480000,0.760000,0.400000,0.840000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.608696,0.608696,0.521739,0.478261
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.529412,0.529412,0.529412,0.647059
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.640000,0.680000,0.560000,0.600000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.400000,0.400000,0.600000,0.400000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.718750,0.593750,0.718750,0.562500
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.538462,0.423077,0.461538,0.500000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.730769,0.500000,0.653846,0.576923
