PRECISION DataSet\Algorithm,TT_20_3_T,TT_20_6_T,TT_20_9_T,TT_20_12_T,TT_30_3_T,TT_30_6_T,TT_30_9_T,TT_30_12_T,TT_40_3_T,TT_40_6_T,TT_40_9_T,TT_40_12_T,TT_50_3_T,TT_50_6_T,TT_50_9_T,TT_50_12_T,TT_60_3_T,TT_60_6_T,TT_60_9_T,TT_60_12_T
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.352941,0.384615,0.545455,0.444444,0.333333,0.454545,0.400000,0.500000,0.428571,0.454545,0.625000,0.571429,0.454545,0.428571,0.500000,0.666667,0.500000,0.714286,0.500000,0.666667
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.444444,0.500000,0.545455,0.600000,0.411765,0.428571,0.500000,0.444444,0.500000,0.500000,0.500000,0.363636,0.461538,0.500000,0.454545,0.428571,0.466667,0.400000,0.444444,0.428571
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.375000,0.285714,0.400000,0.400000,0.375000,0.285714,0.600000,0.500000,0.375000,0.285714,0.750000,0.500000,0.375000,0.200000,0.400000,0.400000,0.428571,0.500000,0.500000,0.400000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.275862,0.260870,0.333333,0.333333,0.280000,0.333333,0.285714,0.400000,0.318182,0.250000,0.266667,0.307692,0.272727,0.352941,0.285714,0.307692,0.300000,0.357143,0.357143,0.428571
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.363636,0.428571,0.583333,0.500000,0.421053,0.411765,0.500000,0.500000,0.571429,0.384615,0.625000,0.500000,0.538462,0.714286,0.666667,0.600000,0.636364,0.500000,0.571429,0.500000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.315789,0.352941,0.416667,0.333333,0.300000,0.250000,0.272727,0.333333,0.352941,0.307692,0.333333,0.375000,0.312500,0.416667,0.444444,0.500000,0.357143,0.300000,0.444444,0.375000
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.823529,0.785714,0.727273,0.777778,0.812500,0.750000,0.727273,0.666667,0.857143,0.818182,0.875000,0.857143,0.846154,0.714286,0.833333,0.833333,0.800000,0.714286,0.833333,0.833333
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.578947,0.666667,0.666667,0.600000,0.611111,0.714286,0.666667,0.555556,0.733333,0.785714,0.785714,0.727273,0.714286,0.750000,0.727273,0.714286,0.666667,0.700000,0.777778,0.857143
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.750000,0.714286,0.666667,0.600000,0.777778,0.750000,0.600000,0.500000,0.777778,0.714286,0.750000,0.750000,0.750000,0.600000,0.600000,0.800000,0.714286,0.600000,0.750000,0.800000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.533333,0.541667,0.578947,0.600000,0.576923,0.666667,0.571429,0.666667,0.608696,0.687500,0.600000,0.615385,0.545455,0.647059,0.642857,0.692308,0.600000,0.714286,0.714286,0.714286
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.727273,0.714286,0.750000,0.750000,0.750000,0.705882,0.666667,0.500000,0.714286,0.615385,0.750000,0.666667,0.769231,0.714286,0.833333,0.800000,0.818182,0.750000,0.714286,0.833333
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.590909,0.611111,0.642857,0.555556,0.571429,0.555556,0.583333,0.555556,0.555556,0.500000,0.555556,0.500000,0.529412,0.583333,0.555556,0.625000,0.625000,0.636364,0.600000,0.500000
