WINDIFF DataSet\Algorithm,C99_20_9_false_T,C99_20_9_true_T,C99_20_11_false_T,C99_20_11_true_T,C99_40_9_false_T,C99_40_9_true_T,C99_40_11_false_T,C99_40_11_true_T,C99_60_9_false_T,C99_60_9_true_T,C99_60_11_false_T,C99_60_11_true_T,C99_80_9_false_T,C99_80_9_true_T,C99_80_11_false_T,C99_80_11_true_T,C99_100_9_false_T,C99_100_9_true_T,C99_100_11_false_T,C99_100_11_true_T
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.294118,0.294118,0.294118,0.294118,0.470588,0.470588,0.470588,0.470588,0.588235,0.470588,0.588235,0.588235,0.529412,0.529412,0.647059,0.529412,0.647059,0.647059,0.647059,0.647059
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.291667,0.375000,0.291667,0.291667,0.333333,0.250000,0.333333,0.250000,0.458333,0.375000,0.458333,0.375000,0.583333,0.583333,0.583333,0.583333
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.444444,0.444444,0.444444,0.444444,0.666667,0.666667,0.666667,0.666667
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.354839,0.419355,0.290323,0.290323,0.387097,0.387097,0.387097,0.322581,0.516129,0.387097,0.451613,0.387097,0.548387,0.548387,0.548387,0.548387,0.741935,0.741935,0.741935,0.741935
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.320000,0.320000,0.320000,0.320000,0.440000,0.440000,0.440000,0.440000,0.520000,0.520000,0.520000,0.520000,0.560000,0.560000,0.560000,0.560000,0.680000,0.680000,0.680000,0.680000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.260870,0.173913,0.173913,0.173913,0.478261,0.304348,0.391304,0.304348,0.565217,0.391304,0.478261,0.391304,0.608696,0.521739,0.608696,0.521739,0.739130,0.739130,0.739130,0.739130
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.764706,0.764706,0.764706,0.764706,0.705882,0.588235,0.705882,0.588235,0.470588,0.470588,0.470588,0.470588,0.294118,0.294118,0.294118,0.294118,0.176471,0.176471,0.176471,0.176471
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.560000,0.560000,0.560000,0.560000,0.360000,0.360000,0.360000,0.360000,0.440000,0.360000,0.440000,0.360000,0.400000,0.400000,0.400000,0.400000,0.360000,0.360000,0.360000,0.360000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.600000,0.600000,0.600000,0.600000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.200000,0.200000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.500000,0.375000,0.437500,0.375000,0.375000,0.375000,0.312500,0.375000,0.343750,0.281250,0.281250,0.281250,0.343750,0.343750,0.281250,0.406250,0.500000,0.500000,0.500000,0.500000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.730769,0.730769,0.730769,0.730769,0.576923,0.576923,0.576923,0.576923,0.461538,0.461538,0.461538,0.461538,0.384615,0.307692,0.384615,0.307692,0.269231,0.269231,0.269231,0.269231
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.384615,0.692308,0.384615,0.692308,0.461538,0.461538,0.461538,0.461538,0.423077,0.269231,0.423077,0.269231,0.346154,0.346154,0.346154,0.269231,0.461538,0.461538,0.461538,0.461538
