"",Pk,WD,A,P,R,F1
TT 10  3,0.275,0.476,0.524,0.510,0.874,0.621
TT 10  6,0.244,0.494,0.506,0.508,0.707,0.563
TT 10  9,0.195,0.429,0.571,0.566,0.663,0.582
TT 10 12,0.166,0.464,0.536,0.548,0.533,0.509
TT 20  3,0.272,0.481,0.519,0.511,0.917,0.630
TT 20  6,0.232,0.477,0.523,0.521,0.738,0.584
TT 20  9,0.157,0.421,0.579,0.571,0.675,0.594
TT 20 12,0.159,0.466,0.534,0.541,0.504,0.497
TT 30  3,0.258,0.464,0.536,0.518,0.874,0.627
TT 30  6,0.229,0.465,0.535,0.526,0.730,0.588
TT 30  9,0.161,0.462,0.538,0.531,0.574,0.531
TT 30 12,0.143,0.491,0.509,0.510,0.446,0.452
TT 40  3,0.203,0.406,0.594,0.566,0.843,0.649
TT 40  6,0.222,0.469,0.531,0.525,0.630,0.551
TT 40  9,0.134,0.396,0.604,0.618,0.580,0.571
TT 40 12,0.159,0.452,0.548,0.561,0.451,0.475
TT 50  3,0.202,0.442,0.558,0.547,0.748,0.604
TT 50  6,0.168,0.469,0.531,0.552,0.532,0.511
TT 50  9,0.144,0.453,0.547,0.579,0.479,0.494
TT 50 12,0.148,0.427,0.573,0.614,0.456,0.491
TT 60  3,0.166,0.420,0.580,0.576,0.729,0.614
TT 60  6,0.160,0.441,0.559,0.574,0.511,0.518
TT 60  9,0.152,0.428,0.572,0.601,0.487,0.510
TT 60 12,0.150,0.424,0.576,0.611,0.472,0.499
TT 70  3,0.216,0.444,0.556,0.556,0.639,0.567
TT 70  6,0.166,0.441,0.559,0.578,0.478,0.500
TT 70  9,0.138,0.409,0.591,0.636,0.467,0.512
TT 70 12,0.134,0.434,0.566,0.610,0.386,0.450
TT 80  3,0.160,0.418,0.582,0.605,0.628,0.575
TT 80  6,0.169,0.418,0.582,0.608,0.527,0.536
TT 80  9,0.159,0.424,0.576,0.620,0.442,0.494
TT 80 12,0.140,0.446,0.554,0.590,0.354,0.421
C99 20  9 F,0.129,0.452,0.548,0.669,0.226,0.326
C99 20  9 T,0.127,0.465,0.535,0.618,0.216,0.308
C99 20 11 F,0.116,0.434,0.566,0.721,0.255,0.363
C99 20 11 T,0.119,0.455,0.545,0.651,0.237,0.333
C99 30  9 F,0.155,0.477,0.523,0.542,0.302,0.373
C99 30  9 T,0.134,0.459,0.541,0.572,0.333,0.404
C99 30 11 F,0.142,0.459,0.541,0.574,0.331,0.404
C99 30 11 T,0.126,0.449,0.551,0.590,0.354,0.424
C99 40  9 F,0.163,0.456,0.544,0.562,0.428,0.467
C99 40  9 T,0.155,0.438,0.562,0.585,0.454,0.489
C99 40 11 F,0.156,0.443,0.557,0.578,0.448,0.484
C99 40 11 T,0.142,0.426,0.574,0.601,0.473,0.506
C99 50  9 F,0.161,0.430,0.570,0.570,0.582,0.557
C99 50  9 T,0.147,0.400,0.600,0.601,0.628,0.593
C99 50 11 F,0.146,0.407,0.593,0.594,0.622,0.587
C99 50 11 T,0.156,0.410,0.590,0.590,0.614,0.581
C99 60  9 F,0.202,0.457,0.543,0.534,0.643,0.564
C99 60  9 T,0.164,0.390,0.610,0.592,0.736,0.633
C99 60 11 F,0.189,0.439,0.561,0.550,0.673,0.584
C99 60 11 T,0.169,0.400,0.600,0.583,0.722,0.623
C99 70  9 F,0.204,0.452,0.548,0.532,0.757,0.603
C99 70  9 T,0.191,0.409,0.591,0.563,0.816,0.643
C99 70 11 F,0.204,0.431,0.569,0.548,0.788,0.623
C99 70 11 T,0.189,0.416,0.584,0.558,0.803,0.635
C99 80  9 F,0.227,0.443,0.557,0.535,0.870,0.638
C99 80  9 T,0.220,0.423,0.577,0.547,0.897,0.655
C99 80 11 F,0.233,0.448,0.552,0.531,0.862,0.634
C99 80 11 T,0.220,0.421,0.579,0.548,0.898,0.656
C99 89  9 F,0.271,0.464,0.536,0.520,0.945,0.646
C99 89  9 T,0.271,0.461,0.539,0.521,0.949,0.648
C99 89 11 F,0.271,0.458,0.542,0.523,0.950,0.650
C99 89 11 T,0.271,0.455,0.545,0.525,0.954,0.653
Sentenças só,0.320,0.502,0.498,0.498,1.000,0.642
