PK DataSet\Algorithm,C99_20_11_false_T,TT_50_9_T,C99_20_9_true_F,TT_50_9_F
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.187500,0.250000,0.312500,0.250000
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.304348,0.391304,0.260870,0.391304
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.125000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.266667,0.400000,0.233333,0.333333
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.250000,0.166667,0.333333,0.250000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.136364,0.272727,0.227273,0.363636
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.000000,0.000000,0.000000,0.000000
