PRECISION DataSet\Algorithm,C99_20_11_false_T,TT_50_12_T,C99_40_9_true_F,TT_40_9_F
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.666667,0.666667,0.666667,0.555556
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,0.428571,0.555556,0.538462
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,0.400000,0.666667,0.500000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.400000,0.307692,0.416667,0.357143
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.500000,0.600000,0.333333,0.500000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.750000,0.500000,0.444444,0.400000
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.666667,0.833333,0.833333,0.875000
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,0.714286,0.777778,0.846154
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,0.800000,1.000000,0.750000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.666667,0.692308,0.750000,0.571429
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.500000,0.800000,0.700000,0.750000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,1.000000,0.625000,0.600000,0.700000
