RECALL DataSet\Algorithm,C99_80_11_true_T,TT_20_3_T,C99_80_9_true_F,TT_20_3_F
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.833333,1.000000,0.833333,1.000000
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,1.000000,0.800000,0.900000,0.800000
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,0.875000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.875000,1.000000,0.875000,0.875000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,1.000000,1.000000,0.833333,0.833333
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.785714,1.000000,0.785714,0.857143
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.812500,0.687500,0.875000,0.812500
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.750000,0.750000,0.750000,0.875000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.875000,1.000000,0.937500,0.937500
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.842105,0.842105,0.789474,0.842105
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,1.000000,0.928571,0.857143,0.928571
