PRECISION DataSet\Algorithm,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.500000,0.300000,0.500000,0.300000,0.500000,0.307692,0.384615,0.384615,0.384615,0.352941,0.352941,0.352941,0.352941
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,1.000000,0.750000,1.000000,0.555556,0.555556,0.555556,0.555556,0.500000,0.500000,0.500000,0.500000,0.421053,0.473684,0.421053,0.473684,0.416667,0.416667,0.416667,0.416667
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000,0.666667,0.666667,0.666667,0.666667,0.600000,0.600000,0.600000,0.600000,0.428571,0.428571,0.428571,0.428571,0.333333,0.333333,0.333333,0.333333
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.200000,0.600000,0.200000,0.200000,0.500000,0.416667,0.500000,0.333333,0.388889,0.388889,0.388889,0.388889,0.280000,0.320000,0.280000,0.320000,0.258065,0.258065,0.258065,0.258065
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.250000,0.250000,0.250000,0.250000,0.444444,0.333333,0.444444,0.333333,0.466667,0.266667,0.466667,0.333333,0.400000,0.350000,0.400000,0.350000,0.320000,0.320000,0.320000,0.320000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.250000,0.500000,0.250000,0.500000,0.222222,0.444444,0.222222,0.333333,0.230769,0.307692,0.230769,0.307692,0.277778,0.277778,0.277778,0.277778,0.260870,0.260870,0.260870,0.260870
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.666667,0.666667,0.666667,0.666667,0.666667,0.833333,0.666667,0.833333,0.700000,0.800000,0.700000,0.800000,0.769231,0.846154,0.769231,0.846154,0.823529,0.823529,0.823529,0.823529
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.750000,1.000000,0.750000,0.750000,0.777778,0.777778,0.666667,0.777778,0.666667,0.666667,0.600000,0.666667,0.650000,0.700000,0.650000,0.700000,0.640000,0.640000,0.640000,0.640000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.833333,0.666667,0.833333,0.750000,0.750000,0.750000,0.750000,0.800000,0.800000,0.800000,0.800000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.500000,0.500000,0.500000,0.833333,0.500000,0.750000,0.500000,0.666667,0.631579,0.684211,0.631579,0.684211,0.520000,0.600000,0.560000,0.600000,0.500000,0.500000,0.500000,0.500000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.500000,0.250000,0.500000,0.250000,0.600000,0.700000,0.600000,0.700000,0.733333,0.666667,0.733333,0.666667,0.714286,0.714286,0.714286,0.714286,0.730769,0.730769,0.730769,0.730769
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.750000,0.750000,1.000000,1.000000,0.500000,0.600000,0.500000,0.700000,0.600000,0.666667,0.600000,0.600000,0.571429,0.571429,0.571429,0.571429,0.538462,0.538462,0.538462,0.538462
