Algoritmo,NSEGRATE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
C99 10  3 T,0.100,0.507655,0.491141,0.542296,NaN,0.085594,0.142523,3.166667
C99 15  3 T,0.150,0.472035,0.453785,0.570406,0.665873,0.175652,0.270103,4.666667
C99 20  3 T,0.200,0.463104,0.444853,0.580929,0.671528,0.242097,0.338946,6.083333
C99 25  3 T,0.250,0.444961,0.422942,0.601963,0.674794,0.324278,0.420554,7.750000
C99 30  3 T,0.300,0.434372,0.406552,0.606582,0.654597,0.375571,0.457365,9.250000
C99 35  3 T,0.350,0.424927,0.395074,0.622591,0.650903,0.449257,0.511956,10.750000
C99 40  3 T,0.400,0.451969,0.422116,0.603918,0.609747,0.479320,0.515357,12.083333
C99 44  3 T,0.450,0.478806,0.446921,0.587398,0.568744,0.519171,0.525087,13.833333
C99 49  3 T,0.500,0.498708,0.457550,0.576992,0.547201,0.565969,0.538997,15.500000
C99 54  3 T,0.550,0.488714,0.447259,0.587250,0.559004,0.621663,0.567412,16.750000
C99 60  3 T,0.600,0.487025,0.440066,0.591776,0.554819,0.677883,0.590706,18.416667
C99 65  3 T,0.650,0.480662,0.430823,0.602761,0.562029,0.742776,0.618095,19.833333
C99 70  3 T,0.700,0.484867,0.430963,0.601639,0.553186,0.797144,0.632842,21.416667
C99 75  3 T,0.750,0.492842,0.420391,0.605950,0.554048,0.852700,0.650778,23.000000
C99 80  3 T,0.800,0.502423,0.416930,0.603466,0.547832,0.892385,0.659391,24.416667
C99 85  3 T,0.850,0.522315,0.421155,0.591859,0.542475,0.933559,0.664192,25.916667
C99 90  3 T,0.900,0.555565,0.439331,0.566561,0.522982,0.956872,0.656317,27.500000
C99 95  3 T,0.950,0.593736,0.458954,0.538850,0.507739,0.974729,0.647912,29.000000
MinCutSeg SRate:0.10 LCO:9,0.100,0.526709,0.508162,0.526307,NaN,0.040482,0.072543,2.666667
MinCutSeg SRate:0.15 LCO:9,0.150,0.537584,0.515268,0.521706,NaN,0.091186,0.144280,4.000000
MinCutSeg SRate:0.20 LCO:9,0.200,0.516054,0.490267,0.545096,0.564286,0.188549,0.267921,5.833333
MinCutSeg SRate:0.25 LCO:9,0.250,0.486723,0.449334,0.575159,0.631270,0.272983,0.361544,7.250000
MinCutSeg SRate:0.30 LCO:9,0.300,0.484379,0.445253,0.578594,0.607161,0.331457,0.408591,8.666667
MinCutSeg SRate:0.35 LCO:9,0.350,0.461639,0.428018,0.594998,0.626523,0.412584,0.469142,10.250000
MinCutSeg SRate:0.40 LCO:9,0.400,0.450647,0.414697,0.607311,0.620327,0.474654,0.511964,11.750000
MinCutSeg SRate:0.45 LCO:9,0.450,0.460609,0.415386,0.597365,0.598603,0.523338,0.528775,13.166667
MinCutSeg SRate:0.50 LCO:9,0.500,0.453588,0.400827,0.611096,0.599070,0.580189,0.563991,14.500000
MinCutSeg SRate:0.55 LCO:9,0.550,0.468531,0.404464,0.601765,0.574672,0.626518,0.576583,16.333333
MinCutSeg SRate:0.60 LCO:9,0.600,0.501253,0.427913,0.579279,0.550983,0.663291,0.577261,17.916667
MinCutSeg SRate:0.65 LCO:9,0.650,0.525052,0.444175,0.567909,0.532790,0.698512,0.583323,19.333333
MinCutSeg SRate:0.70 LCO:9,0.700,0.566681,0.472761,0.534738,0.508835,0.711637,0.570239,21.000000
MinCutSeg SRate:0.75 LCO:9,0.750,0.566264,0.466840,0.534271,0.506228,0.770052,0.589109,22.500000
MinCutSeg SRate:0.80 LCO:9,0.800,0.562745,0.454047,0.550606,0.518390,0.838709,0.617864,24.000000
MinCutSeg SRate:0.85 LCO:9,0.850,0.567564,0.449593,0.548872,0.513755,0.883354,0.629312,25.583333
MinCutSeg SRate:0.90 LCO:9,0.900,0.597006,0.469762,0.529313,0.503823,0.909485,0.627078,27.000000
MinCutSeg SRate:0.95 LCO:9,0.950,0.623161,0.484315,0.515821,0.493851,0.945001,0.629689,28.500000
TextSeg,0.100,0.509018,0.492207,0.541737,NaN,0.093134,0.152106,3.166667
TextSeg,0.150,0.492487,0.473940,0.553281,0.591667,0.163916,0.249787,4.666667
TextSeg,0.200,0.460652,0.439776,0.583834,0.668287,0.256785,0.354504,6.083333
TextSeg,0.250,0.466549,0.436697,0.586938,0.620467,0.328950,0.414991,7.750000
TextSeg,0.300,0.480261,0.444607,0.574176,0.587186,0.358381,0.426573,9.250000
TextSeg,0.350,0.477436,0.434838,0.582076,0.578907,0.428265,0.473780,10.750000
TextSeg,0.400,0.477222,0.431151,0.585398,0.576814,0.477177,0.501358,12.083333
TextSeg,0.450,0.445421,0.395582,0.616082,0.604882,0.565608,0.562595,13.833333
TextSeg,0.500,0.475877,0.414732,0.594622,0.565472,0.605628,0.565338,15.500000
TextSeg,0.550,0.495852,0.432378,0.575762,0.545466,0.627549,0.561294,16.750000
TextSeg,0.600,0.536015,0.465004,0.548657,0.514688,0.655195,0.557134,18.416667
TextSeg,0.650,0.543273,0.462989,0.545232,0.512847,0.697992,0.570611,19.833333
TextSeg,0.700,0.552467,0.460877,0.545167,0.510598,0.748488,0.587704,21.416667
TextSeg,0.750,0.584268,0.485141,0.521386,0.493445,0.770644,0.582202,23.000000
TextSeg,0.800,0.598038,0.493406,0.514736,0.489045,0.805405,0.590201,24.416667
TextSeg,0.850,0.610286,0.492315,0.513644,0.492935,0.850547,0.604207,25.916667
TextSeg,0.900,0.609702,0.482458,0.521055,0.495925,0.914872,0.624306,27.500000
TextSeg,0.950,0.629357,0.494576,0.509575,0.490533,0.955583,0.629257,29.000000
BayesSeg Pr:0.08 dp:0.50 sr:0.100,0.100,0.489212,0.472402,0.562251,NaN,0.121513,0.200817,3.166667
BayesSeg Pr:0.08 dp:0.50 sr:0.150,0.150,0.466948,0.450137,0.573119,0.659921,0.196988,0.296857,4.666667
BayesSeg Pr:0.08 dp:0.50 sr:0.200,0.200,0.465754,0.446911,0.576208,0.616204,0.254936,0.347403,6.083333
BayesSeg Pr:0.08 dp:0.50 sr:0.250,0.250,0.440916,0.420040,0.597371,0.650389,0.342376,0.431034,7.750000
BayesSeg Pr:0.08 dp:0.50 sr:0.300,0.300,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
