Algoritmo,NUM_SEGS_KNOWN,NSEGRATE,PRIOR,DISPERSION,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
BayesSeg Pr:0.08 dp:0.10 sr:auto,false,Auto,0.0800,0.1000,0.395465,0.376622,0.640138,0.648975,0.449188,0.527833,9.666667
BayesSeg Pr:0.09 dp:0.10 sr:auto,false,Auto,0.0900,0.1000,0.401983,0.383140,0.635813,0.647586,0.431031,0.514564,9.333333
BayesSeg Pr:0.10 dp:0.10 sr:auto,false,Auto,0.1000,0.1000,0.395316,0.376473,0.642223,0.660086,0.431031,0.518352,9.166667
BayesSeg Pr:0.11 dp:0.10 sr:auto,false,Auto,0.1100,0.1000,0.402040,0.383197,0.635833,0.654585,0.419919,0.508179,9.000000
BayesSeg Pr:0.08 dp:0.30 sr:auto,false,Auto,0.0800,0.3000,0.379945,0.361102,0.654926,0.661703,0.478620,0.550978,10.000000
BayesSeg Pr:0.09 dp:0.30 sr:auto,false,Auto,0.0900,0.3000,0.392585,0.373742,0.644866,0.653836,0.447565,0.528637,9.583333
BayesSeg Pr:0.10 dp:0.30 sr:auto,false,Auto,0.1000,0.3000,0.393220,0.374377,0.644197,0.659876,0.432816,0.519589,9.166667
BayesSeg Pr:0.11 dp:0.30 sr:auto,false,Auto,0.1100,0.3000,0.389887,0.371044,0.647402,0.666820,0.432816,0.521566,9.083333
BayesSeg Pr:0.08 dp:0.50 sr:auto,false,Auto,0.0800,0.5000,0.379945,0.361102,0.654926,0.661703,0.478620,0.550978,10.000000
BayesSeg Pr:0.09 dp:0.50 sr:auto,false,Auto,0.0900,0.5000,0.397724,0.378880,0.639906,0.646681,0.443398,0.522620,9.583333
BayesSeg Pr:0.10 dp:0.50 sr:auto,false,Auto,0.1000,0.5000,0.396554,0.377710,0.640992,0.654320,0.432816,0.517778,9.250000
BayesSeg Pr:0.11 dp:0.50 sr:auto,false,Auto,0.1100,0.5000,0.388372,0.369529,0.648890,0.672123,0.432816,0.522820,9.000000
BayesSeg Pr:0.08 dp:0.70 sr:auto,false,Auto,0.0800,0.7000,0.384506,0.365663,0.652447,0.656653,0.477399,0.546437,10.000000
BayesSeg Pr:0.09 dp:0.70 sr:auto,false,Auto,0.0900,0.7000,0.392515,0.373672,0.644808,0.648996,0.450343,0.528176,9.666667
BayesSeg Pr:0.10 dp:0.70 sr:auto,false,Auto,0.1000,0.7000,0.395038,0.376195,0.642480,0.659623,0.432816,0.519032,9.166667
BayesSeg Pr:0.11 dp:0.70 sr:auto,false,Auto,0.1100,0.7000,0.388372,0.369529,0.648890,0.672123,0.432816,0.522820,9.000000
BayesSeg Pr:0.08 dp:0.10 sr:0.300,true,0.300,0.0800,0.1000,0.427671,0.397522,0.617348,0.668419,0.415825,0.491007,9.250000
BayesSeg Pr:0.09 dp:0.10 sr:0.300,true,0.300,0.0900,0.1000,0.427671,0.397522,0.617348,0.668419,0.415825,0.491007,9.250000
BayesSeg Pr:0.10 dp:0.10 sr:0.300,true,0.300,0.1000,0.1000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.11 dp:0.10 sr:0.300,true,0.300,0.1100,0.1000,0.426636,0.398223,0.614914,0.664203,0.412290,0.487213,9.250000
BayesSeg Pr:0.08 dp:0.30 sr:0.300,true,0.300,0.0800,0.3000,0.427671,0.397522,0.617348,0.668419,0.415825,0.491007,9.250000
BayesSeg Pr:0.09 dp:0.30 sr:0.300,true,0.300,0.0900,0.3000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.10 dp:0.30 sr:0.300,true,0.300,0.1000,0.3000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.11 dp:0.30 sr:0.300,true,0.300,0.1100,0.3000,0.423606,0.395193,0.617890,0.669411,0.416456,0.491843,9.250000
BayesSeg Pr:0.08 dp:0.50 sr:0.300,true,0.300,0.0800,0.5000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.09 dp:0.50 sr:0.300,true,0.300,0.0900,0.5000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.10 dp:0.50 sr:0.300,true,0.300,0.1000,0.5000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.11 dp:0.50 sr:0.300,true,0.300,0.1100,0.5000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.08 dp:0.70 sr:0.300,true,0.300,0.0800,0.7000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.09 dp:0.70 sr:0.300,true,0.300,0.0900,0.7000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.10 dp:0.70 sr:0.300,true,0.300,0.1000,0.7000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.11 dp:0.70 sr:0.300,true,0.300,0.1100,0.7000,0.427671,0.399258,0.614014,0.662467,0.408880,0.484597,9.250000
BayesSeg Pr:0.08 dp:0.10 sr:0.600,true,0.600,0.0800,0.1000,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.09 dp:0.10 sr:0.600,true,0.600,0.0900,0.1000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.10 dp:0.10 sr:0.600,true,0.600,0.1000,0.1000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.10 sr:0.600,true,0.600,0.1100,0.1000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.30 sr:0.600,true,0.600,0.0800,0.3000,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.09 dp:0.30 sr:0.600,true,0.600,0.0900,0.3000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.10 dp:0.30 sr:0.600,true,0.600,0.1000,0.3000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.30 sr:0.600,true,0.600,0.1100,0.3000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.50 sr:0.600,true,0.600,0.0800,0.5000,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.09 dp:0.50 sr:0.600,true,0.600,0.0900,0.5000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.10 dp:0.50 sr:0.600,true,0.600,0.1000,0.5000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.50 sr:0.600,true,0.600,0.1100,0.5000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.70 sr:0.600,true,0.600,0.0800,0.7000,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.09 dp:0.70 sr:0.600,true,0.600,0.0900,0.7000,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.10 dp:0.70 sr:0.600,true,0.600,0.1000,0.7000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.70 sr:0.600,true,0.600,0.1100,0.7000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.10 sr:0.900,true,0.900,0.0800,0.1000,0.644646,0.517402,0.489886,0.477610,0.877865,0.600449,27.500000
BayesSeg Pr:0.09 dp:0.10 sr:0.900,true,0.900,0.0900,0.1000,0.644646,0.517402,0.489886,0.477610,0.877865,0.600449,27.500000
