Algoritmo,STEP,WINSIZE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextTiling w:30 s:20,20,30,0.512757,0.490442,0.537653,0.473124,0.270160,0.333743,8.500000
TextTiling w:35 s:20,20,35,0.508691,0.492176,0.540439,0.479888,0.280817,0.349790,8.583333
TextTiling w:40 s:20,20,40,0.517296,0.494684,0.531649,0.483436,0.278463,0.342192,8.583333
TextTiling w:45 s:20,20,45,0.495878,0.477035,0.554934,0.527381,0.267917,0.346789,7.666667
TextTiling w:50 s:20,20,50,0.481443,0.464632,0.568594,0.525298,0.319904,0.389670,8.750000
TextTiling w:55 s:20,20,55,0.511899,0.493352,0.541538,0.481548,0.268975,0.336971,8.250000
TextTiling w:30 s:30,30,30,0.510752,0.493941,0.538446,0.474802,0.209413,0.283890,6.666667
TextTiling w:35 s:30,30,35,0.516555,0.499744,0.535676,0.485351,0.209879,0.285368,6.583333
TextTiling w:40 s:30,30,40,0.511920,0.491341,0.543389,0.537269,0.216525,0.299466,6.750000
TextTiling w:45 s:30,30,45,0.501623,0.483076,0.554806,0.563757,0.233484,0.320482,6.916667
TextTiling w:50 s:30,30,50,0.509756,0.492945,0.538582,0.516880,0.234608,0.313194,7.333333
TextTiling w:55 s:30,30,55,0.498459,0.479616,0.542670,0.518750,0.249702,0.328256,7.250000
TextTiling w:30 s:40,40,30,0.493380,0.476570,0.554709,0.579630,0.161887,0.247647,4.916667
TextTiling w:35 s:40,40,35,0.482091,0.465281,0.557500,0.575298,0.180733,0.266793,5.416667
TextTiling w:40 s:40,40,40,0.475902,0.459091,0.565419,0.629365,0.186120,0.274879,5.500000
TextTiling w:45 s:40,40,45,0.501203,0.482360,0.548639,0.590675,0.178418,0.260180,5.333333
TextTiling w:50 s:40,40,50,0.498090,0.480983,0.551307,0.637798,0.186096,0.265631,5.333333
TextTiling w:55 s:40,40,55,0.505390,0.486547,0.543985,0.542262,0.161129,0.243477,5.083333
TextTiling w:30 s:50,50,30,0.474206,0.455363,0.578671,0.673611,0.197839,0.295300,4.916667
TextTiling w:35 s:50,50,35,0.527701,0.510890,0.530511,0.491667,0.133649,0.202104,4.583333
TextTiling w:40 s:50,50,40,0.501190,0.487852,0.539373,0.551389,0.160432,0.233669,5.000000
TextTiling w:45 s:50,50,45,0.489299,0.475961,0.558357,0.606647,0.188546,0.275085,5.166667
TextTiling w:50 s:50,50,50,0.498339,0.482968,0.545194,0.541270,0.219532,0.303760,6.083333
TextTiling w:55 s:50,50,55,0.489711,0.470275,0.555718,0.587037,0.219934,0.302951,5.583333
TextTiling w:30 s:60,60,30,0.499391,0.486053,0.557039,0.608532,0.153024,0.234382,4.416667
TextTiling w:35 s:60,60,35,0.508952,0.493581,0.537293,0.538889,0.163712,0.243266,5.000000
TextTiling w:40 s:60,60,40,0.501197,0.486122,0.545078,0.584722,0.112443,0.181814,3.833333
TextTiling w:45 s:60,60,45,0.493202,0.478127,0.558050,0.618056,0.144956,0.227392,4.166667
TextTiling w:50 s:60,60,50,0.494664,0.477853,0.562311,0.614583,0.141348,0.225498,4.083333
TextTiling w:55 s:60,60,55,0.499923,0.484848,0.549702,0.552778,0.123653,0.198471,4.000000
