Algoritmo,NSEGRATE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextSeg,Auto,0.430195,0.413384,0.610324,0.678968,0.285982,0.397152,6.083333
TextSeg,0.100,0.492640,0.475830,0.557616,NaN,0.116655,0.191151,3.166667
TextSeg,0.200,0.455548,0.434968,0.584997,0.684954,0.248283,0.346883,6.083333
TextSeg,0.300,0.482989,0.451103,0.567393,0.576058,0.355634,0.419209,9.250000
TextSeg,0.400,0.468580,0.426278,0.586334,0.577352,0.488288,0.507440,12.083333
TextSeg,0.500,0.476231,0.416822,0.593071,0.563542,0.602050,0.562830,15.500000
TextSeg,0.600,0.496094,0.425083,0.587046,0.548662,0.694583,0.592735,18.416667
TextSeg,0.700,0.551173,0.463351,0.549860,0.514127,0.750340,0.591121,21.416667
TextSeg,0.800,0.593009,0.488377,0.521675,0.493531,0.808580,0.595038,24.416667
TextSeg,0.900,0.620119,0.494907,0.511251,0.489972,0.907927,0.617896,27.500000
