Algoritmo,NSEGRATE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextSeg,Auto,0.455328,0.438517,0.584952,0.618254,0.266339,0.367885,6.416667
TextSeg,0.100,0.502351,0.485541,0.548147,NaN,0.099086,0.162523,3.166667
TextSeg,0.200,0.472691,0.452408,0.568884,0.617361,0.230661,0.320179,6.083333
TextSeg,0.300,0.495508,0.460150,0.559567,0.556663,0.343206,0.405601,9.250000
TextSeg,0.400,0.484494,0.443929,0.575041,0.561358,0.464478,0.486990,12.083333
TextSeg,0.500,0.474538,0.416866,0.594383,0.564586,0.608243,0.565504,15.500000
TextSeg,0.600,0.504369,0.438863,0.571496,0.534860,0.687572,0.581582,18.416667
TextSeg,0.700,0.531136,0.446787,0.561731,0.523243,0.777161,0.605204,21.416667
TextSeg,0.800,0.578758,0.477598,0.531402,0.500157,0.829215,0.605353,24.416667
TextSeg,0.900,0.604494,0.484491,0.524388,0.497819,0.921816,0.627283,27.500000
