Algoritmo,NUM_SEGS_KNOWN,NSEGRATE,PRIOR,DISPERSION,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
BayesSeg Pr:0.08 dp:0.10 sr:auto,false,Auto,0.0800,0.1000,0.398798,0.379955,0.636932,0.643419,0.449188,0.526021,9.750000
BayesSeg Pr:0.09 dp:0.10 sr:auto,false,Auto,0.0900,0.1000,0.405316,0.386473,0.632608,0.642030,0.431031,0.512752,9.416667
BayesSeg Pr:0.10 dp:0.10 sr:auto,false,Auto,0.1000,0.1000,0.398650,0.379806,0.639018,0.654530,0.431031,0.516540,9.250000
BayesSeg Pr:0.11 dp:0.10 sr:auto,false,Auto,0.1100,0.1000,0.405373,0.386530,0.632628,0.649029,0.419919,0.506367,9.083333
BayesSeg Pr:0.08 dp:0.30 sr:auto,false,Auto,0.0800,0.3000,0.383278,0.364435,0.651721,0.656148,0.478620,0.549167,10.083333
BayesSeg Pr:0.09 dp:0.30 sr:auto,false,Auto,0.0900,0.3000,0.395919,0.377075,0.641661,0.648280,0.447565,0.526825,9.666667
BayesSeg Pr:0.10 dp:0.30 sr:auto,false,Auto,0.1000,0.3000,0.396554,0.377710,0.640992,0.654320,0.432816,0.517778,9.250000
BayesSeg Pr:0.11 dp:0.30 sr:auto,false,Auto,0.1100,0.3000,0.393220,0.374377,0.644197,0.661264,0.432816,0.519754,9.166667
BayesSeg Pr:0.08 dp:0.50 sr:auto,false,Auto,0.0800,0.5000,0.383278,0.364435,0.651721,0.656148,0.478620,0.549167,10.083333
BayesSeg Pr:0.09 dp:0.50 sr:auto,false,Auto,0.0900,0.5000,0.401057,0.382214,0.636701,0.641126,0.443398,0.520809,9.666667
BayesSeg Pr:0.10 dp:0.50 sr:auto,false,Auto,0.1000,0.5000,0.399887,0.381044,0.637787,0.648764,0.432816,0.515966,9.333333
BayesSeg Pr:0.11 dp:0.50 sr:auto,false,Auto,0.1100,0.5000,0.391705,0.372862,0.645685,0.666567,0.432816,0.521009,9.083333
BayesSeg Pr:0.08 dp:0.70 sr:auto,false,Auto,0.0800,0.7000,0.387839,0.368996,0.649242,0.651097,0.477399,0.544626,10.083333
BayesSeg Pr:0.09 dp:0.70 sr:auto,false,Auto,0.0900,0.7000,0.395849,0.377005,0.641603,0.643440,0.450343,0.526364,9.750000
BayesSeg Pr:0.10 dp:0.70 sr:auto,false,Auto,0.1000,0.7000,0.398372,0.379529,0.639275,0.654067,0.432816,0.517221,9.250000
BayesSeg Pr:0.11 dp:0.70 sr:auto,false,Auto,0.1100,0.7000,0.391705,0.372862,0.645685,0.666567,0.432816,0.521009,9.083333
BayesSeg Pr:0.08 dp:0.10 sr:0.300,true,0.300,0.0800,0.1000,0.421004,0.390855,0.623758,0.680324,0.421777,0.498944,9.250000
BayesSeg Pr:0.09 dp:0.10 sr:0.300,true,0.300,0.0900,0.1000,0.421004,0.390855,0.623758,0.680324,0.421777,0.498944,9.250000
BayesSeg Pr:0.10 dp:0.10 sr:0.300,true,0.300,0.1000,0.1000,0.421004,0.392591,0.620424,0.674372,0.414833,0.492533,9.250000
BayesSeg Pr:0.11 dp:0.10 sr:0.300,true,0.300,0.1100,0.1000,0.419969,0.391556,0.621324,0.676108,0.418242,0.495150,9.250000
BayesSeg Pr:0.08 dp:0.30 sr:0.300,true,0.300,0.0800,0.3000,0.421004,0.390855,0.623758,0.680324,0.421777,0.498944,9.250000
