Algoritmo,NSEGRATE,LENCUTOFF,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
MinCutSeg SRate:0.20 LCO:5,0.200,5,0.513151,0.489099,0.539170,0.533267,0.180017,0.257293,5.833333
MinCutSeg SRate:0.20 LCO:7,0.200,7,0.510432,0.486381,0.545464,0.552844,0.187425,0.267465,5.833333
MinCutSeg SRate:0.20 LCO:9,0.200,9,0.498407,0.474355,0.553090,0.586508,0.198770,0.281751,5.833333
MinCutSeg SRate:0.20 LCO:11,0.200,11,0.487270,0.459154,0.565911,0.628175,0.212196,0.301799,5.833333
MinCutSeg SRate:0.20 LCO:13,0.200,13,0.472866,0.444750,0.579755,0.673214,0.226644,0.324021,5.833333
MinCutSeg SRate:0.20 LCO:15,0.200,15,0.467338,0.443286,0.581097,0.676190,0.235844,0.333281,5.833333
MinCutSeg SRate:0.30 LCO:5,0.300,5,0.483314,0.451428,0.572520,0.593206,0.328048,0.402484,8.666667
MinCutSeg SRate:0.30 LCO:7,0.300,7,0.473788,0.436694,0.585121,0.619661,0.342208,0.421074,8.666667
MinCutSeg SRate:0.30 LCO:9,0.300,9,0.479734,0.440608,0.579128,0.607161,0.333081,0.410062,8.666667
MinCutSeg SRate:0.30 LCO:11,0.300,11,0.453715,0.418061,0.600639,0.652002,0.359668,0.442266,8.666667
MinCutSeg SRate:0.30 LCO:13,0.300,13,0.460382,0.422695,0.594229,0.638113,0.353716,0.433932,8.666667
MinCutSeg SRate:0.30 LCO:15,0.300,15,0.455173,0.417487,0.599279,0.648530,0.358345,0.440343,8.666667
MinCutSeg SRate:0.40 LCO:5,0.400,5,0.444049,0.406956,0.609079,0.621917,0.494435,0.522719,11.916667
MinCutSeg SRate:0.40 LCO:7,0.400,7,0.455184,0.410257,0.605883,0.617823,0.478592,0.512838,11.916667
MinCutSeg SRate:0.40 LCO:9,0.400,9,0.465152,0.418192,0.600731,0.605257,0.484512,0.513566,11.916667
MinCutSeg SRate:0.40 LCO:11,0.400,11,0.441785,0.403802,0.612554,0.620643,0.508520,0.533042,11.916667
MinCutSeg SRate:0.40 LCO:13,0.400,13,0.434248,0.400330,0.619864,0.630481,0.519402,0.543080,11.916667
MinCutSeg SRate:0.40 LCO:15,0.400,15,0.430460,0.396543,0.619607,0.630481,0.519402,0.543080,11.916667
MinCutSeg SRate:0.50 LCO:5,0.500,5,0.483888,0.426215,0.587251,0.566876,0.580522,0.549823,15.000000
MinCutSeg SRate:0.50 LCO:7,0.500,7,0.471648,0.411942,0.601990,0.587695,0.588155,0.562681,15.000000
MinCutSeg SRate:0.50 LCO:9,0.500,9,0.465708,0.411211,0.601817,0.582834,0.599534,0.566568,15.000000
MinCutSeg SRate:0.50 LCO:11,0.500,11,0.465279,0.412814,0.598383,0.578976,0.597748,0.563704,15.000000
MinCutSeg SRate:0.50 LCO:13,0.500,13,0.451390,0.398926,0.611818,0.593560,0.613952,0.578435,15.000000
MinCutSeg SRate:0.50 LCO:15,0.500,15,0.461958,0.405428,0.605508,0.587001,0.602841,0.570259,15.000000
MinCutSeg SRate:0.60 LCO:5,0.600,5,0.499622,0.430643,0.580541,0.549427,0.673286,0.581474,17.916667
MinCutSeg SRate:0.60 LCO:7,0.600,7,0.498489,0.427182,0.578718,0.547359,0.670966,0.578762,17.916667
MinCutSeg SRate:0.60 LCO:9,0.600,9,0.492171,0.422896,0.588326,0.555547,0.689129,0.590670,17.916667
MinCutSeg SRate:0.60 LCO:11,0.600,11,0.481754,0.412479,0.598427,0.564806,0.698389,0.599929,17.916667
MinCutSeg SRate:0.60 LCO:13,0.600,13,0.473624,0.404349,0.602303,0.568278,0.705964,0.604691,17.916667
MinCutSeg SRate:0.60 LCO:15,0.600,15,0.481754,0.410447,0.598427,0.564806,0.698389,0.599929,17.916667
MinCutSeg SRate:0.70 LCO:5,0.700,5,0.512091,0.423973,0.579432,0.543097,0.770151,0.612400,21.000000
MinCutSeg SRate:0.70 LCO:7,0.700,7,0.522390,0.432536,0.569599,0.535304,0.757843,0.602931,21.000000
MinCutSeg SRate:0.70 LCO:9,0.700,9,0.527823,0.437969,0.565399,0.529833,0.763209,0.602109,21.000000
MinCutSeg SRate:0.70 LCO:11,0.700,11,0.532330,0.440443,0.568376,0.532026,0.767376,0.604983,21.000000
MinCutSeg SRate:0.70 LCO:13,0.700,13,0.537096,0.445210,0.560349,0.526046,0.758580,0.597942,21.000000
MinCutSeg SRate:0.70 LCO:15,0.700,15,0.529850,0.437963,0.567293,0.531601,0.766156,0.604353,21.000000
