Algoritmo,NSEGRATE,RANKINGSIZE,WEITGHT,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
C99 20  3 T,0.200,3,true,0.481344,0.462797,0.574449,0.655324,0.228899,0.323520,6.083333
C99 30  3 T,0.300,3,true,0.457006,0.436723,0.596183,0.634805,0.368032,0.446948,9.250000
C99 40  3 T,0.400,3,true,0.450479,0.424691,0.602145,0.602223,0.475643,0.512704,12.083333
C99 50  3 T,0.500,3,true,0.434502,0.395376,0.628708,0.602152,0.624994,0.594193,15.500000
C99 60  3 T,0.600,3,true,0.489208,0.436744,0.591877,0.554174,0.677216,0.590660,18.416667
C99 70  3 T,0.700,3,true,0.482135,0.419550,0.602438,0.554598,0.789532,0.631966,21.416667
C99 20  5 T,0.200,5,true,0.487733,0.469186,0.564962,0.622917,0.223939,0.312938,6.083333
C99 30  5 T,0.300,5,true,0.476479,0.457635,0.571377,0.574140,0.360320,0.425732,9.250000
C99 40  5 T,0.400,5,true,0.476112,0.451764,0.578201,0.566346,0.459337,0.487336,12.083333
C99 50  5 T,0.500,5,true,0.462752,0.424769,0.604851,0.576034,0.594727,0.566188,15.500000
C99 60  5 T,0.600,5,true,0.464181,0.415485,0.609639,0.569637,0.690209,0.604082,18.416667
C99 70  5 T,0.700,5,true,0.504267,0.435289,0.588599,0.543777,0.771801,0.618698,21.416667
C99 20  7 T,0.200,7,true,0.478036,0.459489,0.574349,0.652083,0.234058,0.327753,6.083333
C99 30  7 T,0.300,7,true,0.480706,0.462160,0.570097,0.571114,0.349841,0.417512,9.250000
C99 40  7 T,0.400,7,true,0.477542,0.451754,0.576772,0.564809,0.450770,0.482261,12.083333
C99 50  7 T,0.500,7,true,0.470575,0.427384,0.604025,0.574929,0.587091,0.562996,15.500000
C99 60  7 T,0.600,7,true,0.479528,0.429096,0.598721,0.560156,0.680258,0.594395,18.416667
C99 70  7 T,0.700,7,true,0.516303,0.443556,0.578924,0.536366,0.764628,0.611043,21.416667
C99 20  3 F,0.200,3,false,0.469300,0.452786,0.578683,0.666667,0.239253,0.334673,6.083333
C99 30  3 F,0.300,3,false,0.441472,0.420893,0.607653,0.656829,0.383905,0.462707,9.250000
C99 40  3 F,0.400,3,false,0.467175,0.439354,0.590759,0.591404,0.457549,0.493033,12.083333
C99 50  3 F,0.500,3,false,0.483422,0.442263,0.593388,0.563799,0.583850,0.554347,15.500000
C99 60  3 F,0.600,3,false,0.499740,0.441771,0.588573,0.550718,0.676254,0.587296,18.416667
C99 70  3 F,0.700,3,false,0.492467,0.423192,0.601517,0.553611,0.792436,0.631746,21.416667
C99 20  5 F,0.200,5,false,0.494703,0.476156,0.555321,0.558333,0.216065,0.300463,6.083333
C99 30  5 F,0.300,5,false,0.503158,0.484611,0.548699,0.535086,0.323247,0.386308,9.250000
C99 40  5 F,0.400,5,false,0.495906,0.477359,0.564213,0.548031,0.436947,0.466344,12.083333
C99 50  5 F,0.500,5,false,0.488334,0.452383,0.574461,0.544206,0.558748,0.533197,15.500000
C99 60  5 F,0.600,5,false,0.484067,0.433635,0.593604,0.556049,0.680192,0.591720,18.416667
C99 70  5 F,0.700,5,false,0.522447,0.451436,0.574371,0.533216,0.767863,0.609361,21.416667
C99 20  7 F,0.200,7,false,0.489494,0.470948,0.560372,0.572222,0.220695,0.307407,6.083333
C99 30  7 F,0.300,7,false,0.497949,0.479106,0.554047,0.542030,0.330192,0.394410,9.250000
C99 40  7 F,0.400,7,false,0.499971,0.475327,0.560634,0.542823,0.431686,0.462023,12.083333
C99 50  7 F,0.500,7,false,0.478801,0.440521,0.591507,0.562198,0.575583,0.550577,15.500000
C99 60  7 F,0.600,7,false,0.492912,0.438712,0.585417,0.548146,0.676091,0.585685,18.416667
C99 70  7 F,0.700,7,false,0.506380,0.429864,0.589880,0.544837,0.776593,0.620740,21.416667
