Algoritmo,STEP,WINSIZE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
TextTiling w:30 s:20,20,30,0.460829,0.444018,0.580522,0.559901,0.335847,0.411369,8.833333
TextTiling w:35 s:20,20,35,0.461642,0.442799,0.581564,0.561087,0.330492,0.401471,8.750000
TextTiling w:40 s:20,20,40,0.484586,0.465742,0.562121,0.545767,0.297679,0.377515,8.250000
TextTiling w:45 s:20,20,45,0.480470,0.458154,0.572364,0.536869,0.289535,0.368903,8.250000
TextTiling w:50 s:20,20,50,0.523274,0.502695,0.528207,0.458036,0.261138,0.326812,8.416667
TextTiling w:55 s:20,20,55,0.490762,0.473951,0.549093,0.481029,0.261760,0.331361,8.250000
TextTiling w:30 s:30,30,30,0.508690,0.488110,0.535727,0.493564,0.209999,0.285720,6.916667
TextTiling w:35 s:30,30,35,0.500184,0.479308,0.550515,0.537469,0.237196,0.318220,7.166667
TextTiling w:40 s:30,30,40,0.468473,0.451366,0.575880,0.608748,0.251281,0.348331,6.750000
TextTiling w:45 s:30,30,45,0.450258,0.435183,0.595625,0.695851,0.275090,0.372993,6.416667
TextTiling w:50 s:30,30,50,0.492848,0.477773,0.543067,0.552282,0.224621,0.307091,6.416667
TextTiling w:55 s:30,30,55,0.480569,0.463462,0.557519,0.572917,0.262263,0.345576,7.083333
TextTiling w:30 s:40,40,30,0.475281,0.460206,0.565556,0.602348,0.215825,0.305931,5.833333
TextTiling w:35 s:40,40,35,0.500620,0.481777,0.541678,0.528472,0.193732,0.268161,6.083333
TextTiling w:40 s:40,40,40,0.498769,0.478486,0.547515,0.573545,0.212485,0.293221,6.083333
TextTiling w:45 s:40,40,45,0.487981,0.471170,0.550701,0.578869,0.192409,0.275099,5.500000
TextTiling w:50 s:40,40,50,0.494637,0.474354,0.552467,0.584028,0.198828,0.279955,5.833333
TextTiling w:55 s:40,40,55,0.475669,0.453057,0.567205,0.607474,0.216522,0.309533,6.083333
TextTiling w:30 s:50,50,30,0.492048,0.473204,0.557344,0.570767,0.189466,0.273896,5.166667
TextTiling w:35 s:50,50,35,0.504333,0.484050,0.548739,0.588636,0.190666,0.267926,5.583333
TextTiling w:40 s:50,50,40,0.500955,0.480672,0.555608,0.590509,0.193867,0.278256,5.416667
TextTiling w:45 s:50,50,45,0.507815,0.483764,0.548900,0.553175,0.182918,0.263858,5.500000
TextTiling w:50 s:50,50,50,0.513314,0.490703,0.536457,0.537765,0.183944,0.253344,5.416667
TextTiling w:55 s:50,50,55,0.508568,0.487396,0.542786,0.544610,0.203851,0.275885,5.833333
TextTiling w:30 s:60,60,30,0.480525,0.461681,0.564317,0.618981,0.180147,0.267451,4.916667
TextTiling w:35 s:60,60,35,0.503444,0.482865,0.549377,0.506250,0.171080,0.250278,5.083333
TextTiling w:40 s:60,60,40,0.497331,0.480521,0.553660,0.533730,0.162975,0.241563,4.750000
TextTiling w:45 s:60,60,45,0.464683,0.447872,0.576550,0.673611,0.183838,0.270984,4.500000
TextTiling w:50 s:60,60,50,0.477872,0.459326,0.568975,0.625000,0.164695,0.250275,4.333333
TextTiling w:55 s:60,60,55,0.473501,0.456690,0.567821,0.620437,0.187013,0.268930,5.000000
