"",Pk,WD,A,P,R,F1
TT 15  3,0.279,0.473,0.527,0.508,0.891,0.623
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
TT 15  3,0.296,0.488,0.512,0.502,0.891,0.618
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
C99 100 11 T,0.320,0.502,0.498,0.498,1.000,0.642
Sentenças,0.320,0.502,0.498,0.498,1.000,0.642
